RIDGE,NUB,CRACK,WEIGHT,DENSITY,OBSERVATION_NUMBER
-1.1279,-1.9271,-1.1368,-0.4405,1.6834,460.0
8.1356,-10.1712,7.0333,-6.2645,-4.2077,3371.0
4.8946,-3.9033,5.8561,3.2635,-6.4819,1416.0
-3.4195,-1.7342,5.3365,-0.1882,3.6245,2228.0
-3.8884,-3.6743,-13.1277,1.944,0.9227,1716.0
8.9458,-3.9872,-9.2433,-12.215,-3.2266,2400.0
2.246,6.78,-10.4495,-5.5373,3.1492,901.0
12.5717,4.0625,-2.1996,-23.0312,-0.8929,2121.0
4.5737,-0.128,8.381,3.7562,-4.4181,808.0
0.5679,-8.999,5.8891,-1.4304,-1.0075,3539.0
-5.0812,-2.679,1.906,9.3904,-1.2293,1821.0
0.54,2.8252,5.98,-4.9731,-0.7478,274.0
-9.5862,-7.4032,1.2581,16.2589,1.3625,3743.0
-12.5153,-5.7863,5.6109,16.4669,5.7452,1190.0
2.6804,-2.9162,3.1909,-13.0334,4.2246,2461.0
2.395,3.1022,2.3496,-4.8173,0.0606,1201.0
8.9497,0.546,-14.0798,-13.6039,-1.078,970.0
7.7125,3.6616,-1.1828,-13.2627,0.2051,1504.0
4.3904,-3.9515,-1.0062,-6.5529,-2.4407,295.0
4.2097,-1.9193,1.2159,-6.8881,-1.1224,1992.0
0.905,6.3557,-4.1428,-2.5703,3.0056,2419.0
1.6081,7.4159,-2.2603,-2.7105,1.3996,1036.0
-9.8992,-14.3083,4.69,9.8881,0.7587,1604.0
2.3459,-1.8376,9.7544,-8.173,0.6255,2953.0
-14.0396,1.6624,1.344,7.8618,7.4532,593.0
-3.4232,-9.0235,-7.4092,6.72,-2.4993,2387.0
-7.624,-0.8399,18.475,15.6426,0.4265,1543.0
-5.3378,-7.2037,-7.0304,6.3798,0.0944,3516.0
-7.9941,-4.8285,-16.2769,5.4343,4.6237,3245.0
0.8385,5.7852,-6.3009,-1.1062,2.5291,3822.0
1.4048,-5.6982,-21.7061,-2.5775,1.313,412.0
-0.8174,8.1099,-1.1368,-1.8248,2.5138,2041.0
-0.506,3.3866,1.4152,2.1916,1.7667,2650.0
-1.0656,8.3161,4.3708,-1.6418,5.5886,2998.0
5.3055,-0.8624,7.9543,-5.0837,-2.8409,58.0
-8.9334,-5.2404,0.056,14.8179,-0.4191,2366.0
-0.8338,10.7796,-8.3189,0.6078,4.2396,2270.0
10.4977,8.6996,6.6494,-17.4806,0.1199,1407.0
5.6702,1.8082,8.2719,-7.1217,-1.9927,1573.0
3.1644,2.9866,11.0126,-4.2004,-0.6933,738.0
8.4039,6.3296,11.5242,-3.3857,-4.8697,171.0
-3.0528,-7.2045,4.9937,3.6945,-1.0527,575.0
-2.2014,1.5408,8.3564,4.3696,2.159,3237.0
-5.2469,-5.0085,3.3709,4.8293,2.525,1910.0
-4.8005,-5.3208,-1.638,4.3947,2.5556,3036.0
-3.1944,0.2664,-5.2279,5.1191,-1.0283,1829.0
-1.1156,-0.375,0.0829,-0.0302,1.3316,3144.0
8.1555,3.7718,-2.8281,-21.9864,-0.5966,1381.0
-3.0095,4.3311,9.2514,10.2394,-0.5127,1824.0
-1.2549,5.5387,13.0412,0.9655,2.3825,317.0
-0.345,17.2583,6.5671,-1.6788,4.9156,2117.0
6.4766,9.103,0.723,-7.4918,0.47,3667.0
-23.2839,12.4093,17.148,30.137,10.265,2553.0
1.3446,-3.6381,-2.9528,-0.5499,-0.2413,2336.0
-1.0984,-0.4245,0.103,-0.0433,1.4607,1657.0
-5.2356,-3.4434,-5.8031,-1.5916,5.8374,580.0
-0.6495,0.5305,2.041,-0.8764,2.785,2559.0
7.9444,2.9372,-7.8157,-14.1253,-0.4769,2689.0
13.5344,-0.958,-0.2673,-20.704,-1.2382,2276.0
-4.2322,-3.7477,-10.601,5.2359,4.232,454.0
6.96,0.3234,0.2801,-3.9343,-5.6923,920.0
13.9671,4.118,-13.0926,-21.3159,-2.1861,1453.0
-10.4169,-4.1607,6.353,16.529,2.8024,2521.0
-7.8873,1.3472,12.0305,9.3736,3.5732,2355.0
-10.2503,-1.2907,13.2577,15.8922,0.4117,1377.0
-8.6588,6.9009,-12.7732,8.4841,7.941,1018.0
5.9265,0.9251,-4.9688,-9.0117,-3.4246,3295.0
-1.026,6.1487,-2.9886,8.4681,-2.1918,1982.0
9.8115,3.1092,-5.2005,-13.0814,-1.9591,551.0
0.4507,-4.7142,-5.1391,0.413,-4.6443,2709.0
4.2558,-3.3629,19.7265,-2.5681,-5.4414,741.0
-6.4185,2.3642,2.6331,0.6743,6.6278,1752.0
-0.0484,7.8981,10.1396,2.327,-0.6549,209.0
-2.2687,0.9092,-8.0138,4.8235,1.344,2697.0
8.4545,-5.0573,15.8137,-11.4374,-4.2049,1566.0
-19.7381,-0.3539,5.8956,33.4594,3.5602,1173.0
-3.3096,-7.0655,6.2677,-1.4668,0.5088,308.0
6.8151,5.019,2.6538,-7.0892,-2.1954,2436.0
-11.9564,4.578,-11.6623,18.5377,5.4281,3564.0
13.4234,5.4286,-12.4076,-19.1651,-3.6465,600.0
-0.6127,4.029,6.5269,-0.8204,4.483,3313.0
2.3632,5.173,9.7342,2.0441,0.8843,737.0
6.91,-0.3337,0.99,-10.3102,-1.1971,774.0
-6.2201,-0.3262,9.077,13.9826,-0.1149,2966.0
0.2097,0.5795,-0.439,1.1826,-0.3653,93.0
-5.2823,1.2701,4.571,9.9067,1.1898,37.0
-5.0584,-3.4887,-6.0429,8.5098,0.0293,1765.0
5.5131,-8.4788,-2.9351,-0.2699,-2.553,266.0
-5.0439,7.1441,5.4097,5.6928,4.571,281.0
5.4826,2.6834,-3.2784,-14.8207,1.0138,3758.0
-4.4552,-6.0813,8.4055,7.3072,-0.946,681.0
0.4015,5.1957,-0.2256,2.642,-1.4473,2166.0
3.6478,-5.4119,2.9063,2.5289,-4.5045,565.0
-8.864,-8.5726,3.3573,4.7658,4.08,855.0
11.3867,1.7132,-1.0489,-9.2297,-3.9196,3736.0
1.5916,5.1108,6.1833,-1.6959,-0.5065,310.0
16.311,7.657,-6.8051,-20.8843,-5.3524,1894.0
-0.3767,1.0157,-8.8092,-5.0479,5.811,2997.0
-0.8586,-6.4758,0.112,9.1652,-2.0368,2514.0
8.6132,1.6322,-10.8143,-14.791,0.2498,115.0
7.7191,6.1894,-13.8597,-8.6191,-0.7176,2129.0
5.5632,6.7453,-1.9773,-10.5051,0.2699,1242.0
8.7413,1.5281,-0.4408,-15.0351,-2.378,23.0
-5.5107,0.0189,4.9162,15.6201,-3.5148,3169.0
-13.0098,-2.9958,10.859,22.7333,0.3831,2118.0
-6.9946,7.0254,5.0982,6.0491,3.6322,3639.0
3.4938,3.2356,-0.1561,-3.1813,-2.6281,3053.0
-7.1851,-1.2469,11.0841,10.9984,3.4067,2579.0
-12.5143,-6.3119,12.9437,20.711,-2.4637,2037.0
14.1563,4.3768,-7.9698,-17.9949,-3.8975,607.0
8.1967,2.7739,-7.5858,-20.1909,1.7533,1113.0
-0.4293,2.3568,10.4637,3.5576,-1.0041,1575.0
3.52,-1.8674,-2.3791,-8.817,-2.5316,3159.0
3.971,10.3883,-7.8295,-9.3559,0.2948,3630.0
-3.8729,-6.3341,-3.7034,3.3493,0.6264,3111.0
-10.6579,7.4441,14.8556,15.3237,4.7571,1909.0
4.8131,5.0371,5.7023,-5.366,0.163,1351.0
-0.507,3.0309,-16.1842,-6.0575,4.6736,2086.0
1.0975,-4.7911,0.4058,2.2741,-6.2693,153.0
-5.6666,1.2183,3.8525,-1.8298,7.5013,365.0
4.2533,1.8314,0.1349,-7.1731,-2.8343,2263.0
-6.524,1.3497,19.2726,16.0882,0.6706,3080.0
3.6129,10.8284,1.9195,-9.6893,3.319,1383.0
0.534,-3.6271,-21.0451,-4.2692,-0.2441,536.0
4.3451,12.4489,8.5756,-4.4791,1.1465,3786.0
3.7342,1.2086,8.9435,-0.4611,-5.1987,1218.0
6.8925,0.093,-7.3549,-4.9207,-3.6372,3170.0
10.1558,7.8238,9.1883,-11.601,-4.3762,2586.0
-3.2467,-4.9415,0.2228,3.7351,2.3828,3770.0
-1.353,-3.9329,7.5239,8.738,-2.6429,2539.0
0.5214,0.7421,-0.5348,1.439,-0.6133,1392.0
-5.3568,-5.7532,6.151,6.8022,1.5575,1488.0
-3.3585,-1.9667,1.2244,9.1357,-0.5018,2908.0
4.6631,-5.17,0.561,-3.0762,-3.0608,2358.0
-4.2167,-1.783,-2.7633,14.3998,-0.8644,2205.0
-1.5048,-2.3272,-1.4265,0.3741,2.4698,1972.0
-0.1274,-1.4931,8.9198,9.4573,-4.8939,2595.0
1.3099,-5.9314,6.1983,-7.3872,0.2914,3338.0
-0.856,-0.6774,-4.1354,7.9514,0.8902,3193.0
2.7372,-3.6597,4.051,-5.0343,1.2634,755.0
3.2178,-1.7852,-1.0746,-2.2376,0.56,988.0
3.4103,-4.7429,-1.8259,-8.0899,-2.1579,2993.0
-15.5096,-4.8493,2.4385,22.5435,3.3086,3340.0
15.77,-1.9466,-10.6481,-21.4724,-2.7352,3240.0
-3.9394,-3.4961,13.272,14.4905,-3.6819,1298.0
-1.7663,-8.0188,-4.6995,7.1327,-2.3679,2535.0
1.1237,10.9089,-3.854,-9.4861,4.8409,1610.0
7.9565,-2.8751,-11.6104,-12.959,-2.0923,3713.0
10.5871,-5.3417,6.5907,-14.2505,-5.6574,2864.0
0.1608,-3.2005,-3.273,0.1795,-0.9331,1667.0
8.5956,0.4923,1.0092,-7.687,-4.6764,3696.0
2.3164,7.8167,-4.7382,-5.8708,0.8776,2530.0
1.0354,-0.6909,4.6838,5.6428,-6.0074,836.0
2.1667,-0.7152,-16.5282,-2.5031,0.5681,1275.0
-12.4554,-0.3745,7.0167,25.5544,-0.6952,2887.0
8.6966,-2.0869,7.9679,-7.2462,-4.7321,1220.0
-5.4293,-4.4067,-1.1544,8.0312,0.3165,3382.0
7.0518,5.2704,3.1467,-10.521,1.3004,1558.0
-2.4849,-2.0111,-3.0864,-1.4954,2.5601,1608.0
3.3401,-3.4338,-1.4113,-10.9306,2.0868,1115.0
1.7298,2.9529,7.8094,-4.1008,0.6378,2188.0
7.8873,-0.3372,-13.3577,-10.7878,-0.823,2727.0
4.8729,4.1953,-2.9476,-9.2211,0.4682,3487.0
-11.2532,-1.1385,-18.179,14.1252,3.2774,2405.0
3.2258,-10.4266,-6.6222,-6.0536,-2.5768,3745.0
3.6308,-2.0316,2.6749,-12.0825,0.516,2979.0
8.5508,-3.5112,11.4201,-11.4453,-3.1415,2734.0
11.1908,8.3834,4.7462,-17.1873,2.216,2174.0
-4.3934,-2.9684,10.2732,4.0813,1.0632,2114.0
-11.8489,-5.7576,-3.7836,14.8814,5.5255,27.0
1.7901,-10.0213,3.8756,-6.3867,-1.9918,2483.0
0.2552,8.8495,-2.1048,2.8373,0.7311,2140.0
-1.548,-5.1392,7.3105,1.2534,1.838,2936.0
5.1225,0.7438,8.3806,-8.8178,-1.7228,1012.0
-3.5753,6.2232,-4.0662,0.4792,2.5234,2265.0
0.1125,3.2522,9.2367,-0.3514,0.5432,3721.0
-1.9099,5.3655,2.8523,-3.6469,4.3749,2015.0
-4.7507,-3.7438,1.9066,10.605,-1.7966,599.0
3.7941,-0.3992,5.1226,-12.0677,1.8194,936.0
2.9752,-8.4488,-7.2567,-1.4386,-2.5377,1745.0
-4.3235,-5.2256,-10.5954,1.938,1.5666,667.0
-2.0519,-2.1028,3.96,-0.739,4.4377,2183.0
-13.463,2.2308,-3.7144,14.6558,7.5354,3808.0
-4.5115,-2.3682,2.7778,4.4678,2.0179,3488.0
5.0762,5.5792,-3.0709,-7.98,-0.6296,2873.0
6.4832,-3.4667,5.3334,-11.3343,-0.6364,2759.0
-0.8011,4.8325,-2.4255,0.7173,2.5407,2845.0
4.3145,0.7501,6.7871,-1.2819,-2.5193,2846.0
2.743,-6.1299,1.1696,-14.9113,-0.0449,2457.0
-11.6571,2.8946,1.7139,14.3069,5.3735,1177.0
-13.1658,0.9436,-1.9498,17.3018,6.2772,984.0
-4.7464,-4.8507,0.7298,12.3107,-0.9007,653.0
2.4911,-3.4373,-8.313,-5.421,0.2744,3235.0
-0.7538,-4.0462,-1.9296,9.5918,-2.5195,1978.0
1.6264,-3.8508,-7.2964,-0.1052,-2.2636,1437.0
-7.2216,-1.0959,3.8384,12.0596,0.4767,3233.0
0.4244,3.4008,-16.0432,-8.7795,3.6628,765.0
-1.7798,5.5589,2.073,4.32,-0.1365,320.0
1.4815,1.1397,-5.7812,3.9385,-3.7185,55.0
9.7521,8.0588,-8.7865,-17.5216,1.5627,2044.0
-0.5855,0.1094,-9.1148,-2.2772,-2.6378,353.0
5.517,4.4894,5.8973,-8.4345,-1.3754,41.0
12.0701,-4.0904,-7.1979,-15.9316,-3.9733,214.0
0.7579,6.4872,15.2201,0.5325,2.3731,2861.0
0.6236,-6.1664,-13.7912,0.2562,-1.4082,2386.0
-12.4915,2.7696,-0.8229,17.8717,1.1025,1308.0
-10.7478,3.4792,11.3119,13.7202,1.9342,1557.0
-1.368,-2.8104,0.8217,-0.0381,2.1502,309.0
-1.848,6.4748,6.3043,5.0296,0.8107,951.0
5.7588,-1.1187,-0.2421,-8.6585,-3.2766,2833.0
5.1094,-1.3673,-4.9383,-7.4017,-1.7403,156.0
-0.6076,-0.071,-0.0902,0.4059,0.8322,752.0
1.7629,7.589,-7.4843,-6.4628,5.1445,937.0
-0.4613,6.4887,0.4135,3.1874,0.2121,2574.0
-7.4164,4.3527,16.6686,14.0466,1.3975,2541.0
-3.2878,-4.3226,-0.7539,6.4509,1.9994,605.0
9.4696,3.1038,4.4904,-16.4844,-1.385,1374.0
5.6923,-1.7911,-10.9122,-5.9189,-2.5076,338.0
-2.8939,-2.2298,-3.4674,10.033,0.4962,2055.0
-1.2074,4.7915,-1.8109,0.8199,1.2396,2392.0
-0.6124,0.297,-0.2498,0.5741,-0.0682,2531.0
10.6918,0.8778,-14.6902,-15.8256,-1.9571,3530.0
-0.0336,2.1823,4.5775,-2.7413,2.1296,997.0
-2.9228,-5.208,-0.8627,7.492,0.7266,1062.0
3.0076,0.5358,2.4955,-12.7195,-0.4627,3183.0
-3.4359,-9.9237,7.8025,4.6397,-0.8068,2204.0
-0.1505,-0.2521,-8.5554,1.291,1.2569,3763.0
-5.6919,3.2831,-1.727,12.579,-0.5811,200.0
10.8457,3.1516,10.0399,-10.7634,-4.8622,978.0
-0.8074,6.9601,-5.1348,-2.6463,2.8353,2749.0
-6.4817,-4.3267,5.0339,15.9892,-3.9697,3275.0
-9.5961,8.8118,5.292,9.2885,6.8419,2341.0
-0.5633,-9.8259,0.7598,0.1415,-2.6185,1917.0
9.4536,-1.3572,1.1007,-3.4116,-7.4478,3703.0
-9.4197,-2.0308,3.8274,23.9811,-2.2139,690.0
-4.7885,-9.381,-12.5671,6.3289,-0.7083,3112.0
8.6106,-0.416,6.3287,-8.9451,-2.41,3500.0
2.6109,2.0574,-0.1219,4.0244,-4.0973,1907.0
4.7019,6.4687,-6.0171,-5.9598,-0.2597,3051.0
-7.4484,-2.4747,11.166,12.0058,1.8392,2051.0
7.1754,-9.3649,-0.5919,-2.984,-8.2178,1650.0
2.8275,-4.7389,-7.4782,-2.0713,-2.6817,2597.0
4.2609,2.9423,-11.3159,-7.7247,0.8137,2383.0
5.271,-0.541,0.373,-6.2372,-5.4923,236.0
-3.5746,-8.4875,-4.032,7.5958,-2.3129,829.0
-8.9766,4.9858,-1.539,13.116,3.6803,2284.0
1.4395,-7.1772,-5.6096,-2.8632,0.1758,2475.0
-5.6176,1.5932,9.1005,4.7145,3.7318,3303.0
2.6776,-4.2084,-0.6466,-0.7964,-3.7607,3677.0
-5.4923,7.5756,10.4837,1.0276,7.8777,3009.0
-1.1634,4.8713,6.7656,-1.6049,5.1624,3542.0
-1.5262,-0.4845,-5.5491,0.1137,1.5854,1815.0
-1.8231,-4.6366,-6.5316,5.7564,0.8129,2171.0
-9.4607,1.4097,7.0471,11.8159,4.7208,543.0
-13.7338,2.0329,3.2233,20.3744,3.5165,1309.0
2.6335,-0.5218,3.4981,2.1906,-4.2154,2866.0
1.6071,-2.0967,-10.0861,-0.5502,-1.1229,2534.0
5.7644,2.2435,15.5841,-6.0535,-2.1495,3416.0
0.1891,2.4816,5.6455,-7.8054,3.9681,1660.0
-5.2164,-4.3676,-1.4462,3.8885,2.8316,3726.0
6.7582,0.3592,0.1003,-8.198,-1.281,3731.0
-4.3746,-3.8032,14.0011,6.2669,0.2874,1032.0
0.8295,-3.4594,-3.0269,-2.1576,-0.5522,3730.0
3.6597,-2.3589,-7.2277,-7.1467,-2.0317,2017.0
-0.3975,4.7474,12.9715,3.928,1.7329,523.0
4.0253,-0.1244,-19.2215,-12.1656,4.3729,3039.0
5.9062,5.9986,-4.0784,-9.0514,-2.6543,1462.0
-2.6693,5.0276,-9.6316,-0.5897,3.368,2329.0
-2.1656,-3.7392,-2.7377,3.4815,-2.0299,84.0
-5.6503,0.7156,7.357,14.008,-2.5201,474.0
-10.2956,-0.9742,5.8389,23.4001,-0.6661,1639.0
-1.7422,-5.3329,-1.5393,0.7082,-0.024,250.0
4.9666,1.2881,-8.4873,-11.7408,0.6414,2008.0
12.1944,-2.034,-7.2801,-11.433,-3.7397,1433.0
-3.6473,-3.1078,4.6495,8.7502,-1.328,76.0
-0.313,0.1411,-0.2062,0.6754,0.4551,766.0
-13.9144,-2.6655,-2.5509,16.0273,4.839,283.0
11.3728,-2.135,2.2721,-17.3131,-2.3274,3198.0
9.9855,7.4032,-11.5284,-16.187,-1.0886,1810.0
-8.2574,-5.8233,3.0634,14.0038,1.1093,1969.0
13.1516,3.0862,-8.0371,-22.9169,-0.9967,500.0
-7.7435,-4.5666,10.4978,14.2325,0.0595,3789.0
-3.5498,-0.555,6.0039,9.8107,1.1082,3091.0
-7.8063,2.0313,11.2029,11.8935,1.4125,2735.0
4.915,4.5679,-3.375,-11.6185,-0.0773,3043.0
-1.0526,-6.7063,-0.4829,-5.4454,2.3011,3244.0
2.2466,-3.6238,3.504,-7.8104,-0.1687,2004.0
-8.7331,-9.3093,7.1972,12.7335,0.7648,1874.0
4.0982,3.8631,7.5167,-9.9689,0.6956,2826.0
-1.5268,-4.156,5.6952,0.5327,2.792,3207.0
-1.0688,12.1326,5.8042,3.8124,2.1724,2058.0
-3.4301,2.1238,2.5806,9.9395,0.1786,2700.0
3.2419,3.5078,7.5862,1.2013,-2.8542,436.0
-4.7799,-1.269,7.541,9.9474,1.2379,3224.0
8.7653,1.2398,-4.3206,-14.4777,1.228,26.0
-4.3261,-2.7346,9.9229,1.2858,1.878,2236.0
-6.1893,-3.8061,5.4645,13.1212,-0.6407,1098.0
3.5725,-8.774,6.8858,3.4969,-5.929,1830.0
-12.1322,2.9648,0.3299,15.5721,3.8139,3414.0
4.771,3.0307,-0.429,-9.7139,0.4854,3027.0
5.0907,-0.0072,6.7503,-6.5148,-5.2091,2721.0
-11.983,2.8419,13.4648,17.5463,4.0712,1314.0
8.6044,1.6701,7.3916,-13.1895,0.5111,3812.0
11.2782,-0.0902,-11.458,-15.7631,-2.8341,1086.0
-10.4865,4.5324,11.2393,16.7073,3.1575,3071.0
-3.7356,3.3561,-10.8575,-0.6775,8.8201,3101.0
-1.4866,7.56,3.6456,1.8915,-0.8981,1074.0
14.4846,8.1981,3.6243,-19.7322,-4.1679,3134.0
1.119,-2.892,-5.0861,-1.2468,-2.4044,1163.0
-5.2911,-10.9259,-4.4533,6.1053,-0.2584,292.0
-3.291,-4.5392,12.2675,7.0361,-1.1996,2251.0
6.1221,-5.9531,-2.4891,-4.0212,-8.8468,2886.0
4.729,-3.1358,4.596,-8.6951,-2.2855,1582.0
-5.8097,-4.7756,-4.4461,4.2379,2.8574,703.0
-1.8076,1.8759,-1.34,5.288,1.3953,3646.0
0.5989,6.4151,-11.2664,-4.8388,2.4921,3583.0
-3.2397,4.681,-12.9562,-3.1673,5.1531,3073.0
6.0291,-3.3888,-6.2501,-13.1443,0.3695,705.0
3.8297,5.11,8.594,-8.3545,0.6667,2921.0
-6.2242,-4.0161,11.8727,9.9955,-0.8209,2112.0
6.6193,4.1158,-20.4755,-12.4221,0.7518,1358.0
7.2512,-3.8692,-4.4018,-12.5969,-0.5585,3393.0
3.9271,1.2042,-11.0788,-14.1423,3.4173,3593.0
-3.3201,8.3357,-6.9762,1.3472,4.2955,3645.0
-8.3741,3.2644,-0.0105,14.2606,-0.2774,3267.0
6.6826,3.2241,9.1783,-6.9889,-1.5613,2738.0
8.4872,6.7558,-15.467,-12.1663,0.2156,1489.0
0.4501,-2.5171,0.6179,-3.6699,0.5332,2970.0
-3.1878,-2.0504,-14.1456,9.9849,-1.1861,3682.0
-1.3391,-8.3103,10.7935,6.3582,-4.7186,101.0
0.6469,1.1873,-9.3496,2.003,-1.0207,773.0
-2.1792,-0.9528,12.3761,-1.7462,0.2957,1988.0
-4.726,4.9277,5.9669,6.2528,2.4372,2235.0
7.1149,-1.2304,-14.7506,-11.9521,-2.5991,642.0
4.3143,2.9382,4.3566,-7.5588,-0.4605,949.0
-0.4805,6.5574,-1.493,1.3652,2.516,1948.0
0.6046,6.0859,-10.8073,-3.236,0.7663,3212.0
-4.4809,-0.0626,-12.9623,2.2138,1.8153,3260.0
-2.747,-5.3436,8.7961,-0.8063,2.2172,2065.0
5.8819,-1.9239,5.4523,4.3544,-4.6783,3372.0
1.7542,1.6239,3.0525,-8.9204,2.3524,1204.0
-3.3833,-8.1585,-0.1703,-0.2162,1.5499,934.0
-1.676,-0.8612,-7.845,2.5999,3.8037,408.0
-4.1597,-0.7515,-7.2445,-2.5365,4.343,1588.0
-9.2131,2.058,10.0957,19.4592,0.9153,2897.0
