year,month,day,RPT,VAL,ROS,KIL,SHA,BIR,DUB,CLA,MUL,CLO,BEL,MAL
78.0,6.0,8.0,7.5,7.83,5.75,4.0,7.04,4.46,6.34,6.13,6.04,8.54,11.21,19.46
74.0,10.0,17.0,14.79,9.67,10.71,4.21,8.96,5.04,7.87,9.21,6.75,6.79,13.67,16.0
78.0,4.0,25.0,13.25,11.04,14.83,4.58,10.46,9.21,13.0,11.96,11.25,9.0,18.05,17.67
67.0,1.0,26.0,7.08,10.13,8.0,3.29,9.59,7.08,7.75,6.5,5.71,8.04,12.67,14.29
66.0,7.0,22.0,12.17,6.54,7.21,7.04,10.92,6.42,7.79,7.71,7.92,7.75,11.38,17.16
67.0,3.0,1.0,14.67,17.16,13.29,12.33,19.08,12.92,20.88,16.04,16.62,16.38,24.41,28.16
78.0,6.0,10.0,12.54,9.17,10.04,6.17,9.96,8.46,8.71,7.41,9.67,10.13,10.29,17.54
70.0,12.0,12.0,17.88,12.08,13.17,9.59,15.92,10.79,8.17,11.92,11.34,8.5,15.16,18.79
63.0,2.0,10.0,19.33,12.71,19.67,10.0,14.33,11.63,15.67,14.29,13.17,12.71,12.33,20.71
71.0,7.0,10.0,5.71,2.75,6.96,1.83,5.41,1.75,3.83,4.5,4.0,4.04,11.29,13.46
67.0,3.0,16.0,11.42,10.13,10.08,6.21,10.71,8.17,14.71,13.17,9.62,12.83,20.5,21.12
77.0,10.0,2.0,7.41,5.46,7.62,2.92,6.75,5.33,10.79,6.17,7.83,7.0,9.75,16.29
69.0,11.0,1.0,10.63,9.21,11.83,4.75,12.5,9.04,13.37,11.63,12.33,13.62,20.25,20.83
66.0,6.0,13.0,8.46,4.71,10.41,3.58,2.58,3.29,2.29,0.75,2.58,2.37,4.92,10.29
67.0,9.0,13.0,4.25,2.17,9.87,1.87,2.21,0.96,3.67,1.5,2.33,1.54,2.54,3.54
68.0,7.0,28.0,5.09,2.08,15.16,3.21,4.38,1.96,3.04,3.42,2.37,2.29,5.79,6.67
75.0,7.0,1.0,6.25,3.25,5.5,1.92,3.46,1.33,2.92,2.75,2.37,2.21,6.13,11.46
64.0,1.0,3.0,22.63,9.92,19.67,18.12,11.92,12.12,16.13,9.67,12.58,15.29,14.5,14.71
67.0,6.0,3.0,7.92,9.17,13.08,4.33,7.96,6.25,10.0,15.0,9.38,12.38,18.63,16.5
78.0,5.0,9.0,4.96,3.29,13.62,3.29,5.63,4.21,4.79,4.38,6.25,4.42,5.17,5.58
64.0,11.0,28.0,18.63,15.83,11.34,10.04,11.67,8.71,15.41,12.08,12.42,12.67,22.83,27.84
77.0,9.0,8.0,10.92,7.46,8.38,4.83,9.21,7.21,10.58,5.13,8.33,6.87,12.0,14.54
73.0,1.0,8.0,7.75,8.12,3.54,0.63,5.21,2.88,2.67,1.25,2.58,0.33,5.0,6.79
62.0,9.0,9.0,16.83,15.87,20.12,13.13,17.21,13.13,18.79,14.5,13.79,16.54,17.33,15.71
71.0,5.0,5.0,16.21,19.46,12.38,7.83,16.5,13.13,7.21,12.38,11.96,10.46,14.33,17.83
70.0,4.0,14.0,9.71,12.87,11.08,5.58,8.67,8.29,5.66,9.59,6.25,10.29,17.46,17.54
65.0,5.0,31.0,14.0,10.92,16.08,6.96,12.62,9.42,7.33,10.79,7.79,12.58,13.42,14.04
76.0,12.0,17.0,8.29,4.67,9.38,0.67,4.12,2.92,5.63,2.83,3.67,3.75,8.38,15.96
74.0,1.0,23.0,15.83,16.71,14.04,8.75,14.96,10.08,15.54,12.17,13.62,15.0,23.38,26.87
69.0,8.0,30.0,8.83,4.88,5.66,3.17,6.29,2.96,5.21,4.38,4.5,7.33,4.54,8.42
65.0,4.0,8.0,5.54,5.29,7.54,4.83,8.92,6.71,9.92,7.29,6.58,7.58,9.04,12.96
69.0,8.0,22.0,15.54,10.75,10.75,8.33,11.96,8.12,10.79,6.92,11.08,10.96,14.5,22.37
68.0,11.0,7.0,12.75,15.83,15.92,6.0,14.0,7.54,17.67,13.13,10.58,11.17,16.0,31.25
61.0,10.0,11.0,11.96,10.13,10.13,7.79,13.54,9.13,12.71,8.79,10.0,12.0,18.91,21.04
66.0,11.0,10.0,4.29,5.09,4.42,0.63,5.54,3.54,6.75,1.54,3.33,4.71,6.83,13.59
78.0,10.0,12.0,6.0,1.5,8.04,0.79,2.83,3.04,2.13,1.38,3.42,3.54,5.09,10.67
66.0,2.0,3.0,21.21,18.88,17.29,13.92,16.46,12.5,10.96,14.29,11.08,14.42,20.33,18.16
66.0,12.0,23.0,15.75,16.71,10.5,10.41,18.0,11.83,16.88,12.54,14.09,14.17,15.5,26.96
77.0,2.0,6.0,19.38,17.79,15.96,6.04,10.75,9.71,7.58,5.79,7.25,5.71,8.25,13.13
67.0,7.0,12.0,3.13,3.29,8.12,2.71,5.17,1.46,3.46,4.88,5.79,6.63,5.58,8.42
78.0,11.0,19.0,13.88,11.67,8.79,4.96,7.87,5.37,11.08,7.21,7.29,6.92,16.21,20.75
62.0,7.0,17.0,12.92,10.54,5.46,6.25,11.29,6.63,4.54,8.83,5.66,9.04,9.33,11.42
65.0,12.0,28.0,10.08,9.71,8.25,2.58,9.96,5.54,6.58,5.58,2.96,4.67,10.21,8.42
69.0,12.0,10.0,13.13,9.59,10.04,3.46,8.29,7.54,7.5,6.38,8.42,9.54,12.33,15.37
64.0,2.0,20.0,17.58,16.5,13.7,8.12,16.33,11.63,9.67,13.67,6.96,11.34,12.92,9.87
69.0,6.0,8.0,6.46,3.46,8.75,3.25,2.71,3.71,2.88,2.62,4.38,3.33,5.29,2.21
77.0,10.0,29.0,23.91,18.41,16.42,10.96,14.46,12.08,14.37,16.21,14.5,16.5,25.66,25.41
75.0,4.0,2.0,17.5,15.12,16.75,8.87,12.87,8.25,10.75,12.17,11.34,10.88,17.41,19.29
66.0,4.0,24.0,13.62,11.21,10.41,7.41,13.79,7.75,11.08,8.42,9.0,9.42,11.83,9.62
77.0,2.0,24.0,8.67,8.87,10.88,5.63,11.46,10.29,17.71,10.92,12.04,13.29,14.37,27.0
75.0,5.0,30.0,9.42,4.42,12.75,2.96,6.46,4.08,5.33,7.79,7.17,3.33,19.08,13.88
73.0,6.0,25.0,4.92,6.58,5.13,1.92,5.66,2.46,2.54,3.79,4.12,4.71,9.25,9.21
62.0,10.0,11.0,14.96,9.17,8.0,2.04,7.12,2.75,7.79,7.38,8.42,7.62,7.83,8.33
65.0,11.0,24.0,8.87,7.5,6.96,1.75,6.25,3.96,7.46,2.5,2.62,4.88,6.38,13.59
77.0,8.0,12.0,6.29,13.25,4.75,3.54,9.29,7.17,7.21,3.67,5.54,7.0,6.04,12.25
78.0,1.0,23.0,15.75,12.12,14.37,9.29,14.42,10.21,13.5,11.92,13.96,11.5,12.42,18.41
71.0,12.0,24.0,18.46,15.25,16.38,7.83,12.29,11.96,16.42,14.92,13.62,15.67,27.84,26.04
63.0,5.0,4.0,13.88,12.21,12.58,8.38,14.42,11.63,13.37,13.88,12.46,12.71,17.96,18.21
67.0,9.0,24.0,18.66,16.54,14.71,9.71,14.54,10.92,11.0,15.04,10.79,12.42,20.33,18.84
65.0,4.0,27.0,17.46,16.04,12.67,10.13,13.96,9.59,12.21,12.08,11.0,13.62,14.12,22.04
70.0,6.0,27.0,6.38,7.08,8.67,3.75,11.04,6.79,4.79,7.29,6.63,7.83,10.21,9.79
76.0,12.0,22.0,12.25,9.04,12.0,4.88,9.92,8.63,9.71,8.79,8.21,10.08,10.67,21.42
73.0,12.0,14.0,19.12,11.71,15.16,10.58,13.79,8.67,14.29,8.17,12.04,14.83,12.33,26.38
65.0,5.0,23.0,6.83,4.42,10.5,5.17,4.96,6.79,12.83,8.08,6.25,10.54,9.21,15.34
69.0,8.0,12.0,14.92,4.75,15.59,6.71,8.92,5.79,7.21,3.79,7.46,5.96,7.58,11.67
70.0,5.0,5.0,12.87,11.34,9.59,8.21,9.79,9.59,6.79,7.33,11.17,12.12,11.75,16.0
70.0,2.0,16.0,7.46,9.71,7.12,1.54,8.63,6.96,7.67,4.63,6.87,4.21,9.33,15.92
69.0,7.0,4.0,10.13,9.83,10.41,5.37,12.38,9.96,12.96,11.79,12.42,12.87,19.08,26.08
63.0,11.0,17.0,21.67,19.75,16.96,8.17,19.17,13.5,13.75,15.16,11.04,11.71,18.21,19.17
70.0,2.0,10.0,10.88,7.79,8.33,4.96,8.42,6.04,10.83,5.83,7.92,4.92,9.92,10.79
67.0,4.0,8.0,13.5,11.67,23.79,11.46,11.87,6.38,15.16,9.13,9.17,10.88,11.42,16.29
64.0,9.0,28.0,3.21,7.58,7.0,3.33,7.58,5.13,6.87,9.04,4.67,8.12,15.83,15.29
78.0,11.0,20.0,16.46,17.71,13.88,7.33,13.62,9.75,16.08,10.63,12.46,11.96,21.09,23.5
70.0,8.0,16.0,26.38,14.96,18.5,17.33,21.59,18.12,20.75,14.96,22.71,23.71,19.87,34.33
76.0,10.0,14.0,28.08,16.0,26.83,13.88,15.59,12.08,13.83,9.71,12.0,12.42,12.12,16.54
73.0,8.0,25.0,3.29,4.79,4.54,1.21,6.17,1.58,0.71,3.29,1.75,1.58,6.79,8.12
71.0,3.0,15.0,9.92,6.25,7.29,2.21,9.42,3.37,4.33,2.13,1.79,0.71,7.17,5.04
70.0,6.0,7.0,4.96,3.83,15.21,3.71,4.71,4.54,5.04,3.67,6.21,4.5,7.29,6.63
72.0,8.0,17.0,17.37,10.25,12.71,9.21,11.83,9.13,15.12,11.25,13.08,10.63,13.25,19.75
64.0,5.0,22.0,12.71,11.75,12.83,8.58,11.21,8.92,10.71,10.79,9.13,11.04,12.54,13.37
69.0,6.0,17.0,15.79,16.17,13.37,10.37,15.79,14.09,11.29,11.0,11.58,13.46,11.42,18.05
75.0,10.0,24.0,17.5,17.25,15.29,9.0,13.46,8.79,8.04,12.46,13.0,12.46,24.58,22.08
78.0,4.0,12.0,14.12,13.04,9.25,8.33,10.79,8.25,8.58,7.75,8.29,8.25,11.21,12.87
68.0,2.0,3.0,13.33,12.21,9.59,6.13,8.33,4.42,9.29,6.0,7.25,5.54,13.46,15.25
63.0,12.0,24.0,32.5,26.54,26.25,17.0,24.71,18.71,18.08,21.21,18.58,21.37,29.38,29.63
71.0,4.0,23.0,18.34,9.0,15.87,9.46,9.46,7.83,11.25,6.34,14.21,12.92,5.66,15.12
72.0,11.0,8.0,7.38,7.79,5.71,1.42,5.83,4.38,7.67,7.41,6.21,6.5,15.54,20.96
76.0,11.0,25.0,17.46,15.25,12.17,5.83,9.17,11.0,13.04,12.42,11.71,13.83,22.54,22.17
63.0,7.0,10.0,9.04,7.83,6.21,5.04,8.96,4.88,8.17,7.08,6.79,7.71,8.0,9.17
72.0,12.0,5.0,25.58,20.46,22.08,10.37,18.46,15.25,21.71,17.92,16.79,16.29,27.5,29.83
67.0,8.0,10.0,8.29,5.41,7.71,4.33,9.5,4.83,4.88,2.46,3.71,2.21,5.58,6.71
76.0,9.0,22.0,5.21,6.92,2.88,1.13,4.12,2.37,1.63,1.13,3.0,1.13,4.33,5.54
63.0,8.0,1.0,10.21,7.83,13.7,5.37,11.67,5.0,5.41,11.25,5.66,5.37,13.37,3.67
66.0,9.0,20.0,5.09,3.0,4.0,0.46,3.46,0.58,1.71,0.37,0.79,2.42,6.25,9.04
67.0,2.0,12.0,15.96,12.33,16.58,7.08,13.88,8.04,11.0,8.83,7.21,8.83,10.71,12.46
76.0,9.0,2.0,14.75,13.46,16.17,7.79,7.79,7.67,11.63,6.5,10.13,10.54,12.92,21.84
78.0,1.0,7.0,6.0,3.04,7.08,2.04,4.71,3.75,8.08,6.87,5.46,6.17,12.08,15.63
78.0,5.0,15.0,6.34,4.63,4.83,1.04,4.96,1.17,2.37,2.92,2.42,2.08,7.58,3.88
66.0,6.0,14.0,12.29,10.92,10.46,7.33,7.92,6.21,5.17,4.38,6.38,7.87,10.25,9.04
66.0,11.0,20.0,10.21,12.75,9.08,3.67,7.62,2.42,3.54,4.92,3.04,4.46,9.5,11.12
64.0,6.0,8.0,12.46,12.83,10.34,7.92,12.46,8.75,10.71,9.54,9.13,10.71,14.04,11.29
69.0,10.0,4.0,12.54,11.25,11.71,7.96,11.58,6.96,8.08,9.75,8.17,7.41,16.0,13.25
78.0,9.0,2.0,4.75,1.63,6.83,1.87,1.96,4.58,6.13,1.83,5.21,2.13,8.83,15.21
67.0,1.0,30.0,15.92,15.25,14.17,8.67,14.96,11.25,12.92,14.58,11.17,17.46,25.37,21.34
69.0,2.0,18.0,20.08,14.92,19.41,7.33,12.58,6.21,10.88,8.75,8.42,8.17,10.21,15.75
69.0,11.0,24.0,12.17,10.58,18.08,6.21,6.63,3.71,8.92,6.58,6.38,6.42,13.04,20.5
72.0,5.0,29.0,21.84,19.55,17.83,12.46,23.58,13.13,20.08,17.92,17.33,17.5,26.38,28.04
68.0,1.0,25.0,25.12,12.04,14.75,12.83,14.88,7.46,19.79,14.75,16.71,12.87,17.33,22.58
73.0,6.0,4.0,3.37,4.08,5.66,2.13,4.08,1.08,3.17,2.04,1.54,1.13,5.29,7.62
66.0,9.0,29.0,3.37,3.29,4.38,0.96,5.91,2.25,0.42,1.87,1.5,3.67,7.87,7.5
61.0,9.0,24.0,8.0,6.04,8.04,3.96,7.5,3.21,5.91,5.41,4.21,6.04,11.71,9.42
64.0,11.0,15.0,19.62,19.95,16.08,11.75,17.5,13.5,17.88,13.83,13.96,13.37,23.63,23.87
62.0,6.0,18.0,22.13,21.04,22.54,16.5,23.5,14.12,21.5,21.92,18.96,21.79,29.79,26.58
74.0,5.0,7.0,8.58,12.17,6.58,4.0,8.21,5.04,6.58,8.46,5.58,6.38,15.96,11.71
69.0,4.0,10.0,6.5,5.83,8.38,4.5,6.75,4.08,9.59,7.75,8.87,7.71,10.34,13.0
64.0,8.0,17.0,12.54,7.79,15.79,7.33,9.67,7.58,13.42,7.5,7.92,11.29,11.5,16.38
62.0,1.0,22.0,20.54,21.42,14.33,14.29,22.25,12.92,23.25,16.92,16.88,15.67,26.67,27.0
70.0,10.0,7.0,12.67,11.0,7.17,4.33,8.71,6.04,8.25,8.63,8.96,7.67,16.71,24.33
71.0,7.0,31.0,12.38,7.58,10.54,4.67,9.67,5.5,7.96,6.0,7.12,3.17,7.67,9.17
68.0,11.0,13.0,11.46,7.58,19.0,8.46,11.5,13.13,16.33,11.63,10.25,11.5,13.33,22.79
78.0,3.0,24.0,16.88,14.83,11.75,8.42,16.46,9.92,15.46,13.62,14.46,12.21,15.63,21.25
76.0,11.0,16.0,9.67,6.42,10.71,3.79,1.58,3.96,8.63,1.5,3.17,3.88,5.54,9.96
72.0,4.0,3.0,14.88,13.88,13.54,8.17,15.41,10.5,14.42,14.21,13.62,12.75,23.67,23.71
70.0,9.0,7.0,10.5,14.5,9.96,7.29,12.0,8.04,5.71,8.83,9.96,10.25,13.88,19.5
71.0,12.0,3.0,3.33,7.92,6.34,0.37,5.58,4.67,7.41,5.41,5.0,4.92,14.33,18.12
73.0,10.0,12.0,21.59,22.25,22.63,9.0,19.38,11.75,12.62,14.67,10.5,8.17,16.21,18.21
62.0,1.0,6.0,15.04,12.29,12.21,4.71,9.0,6.13,8.46,6.92,5.46,5.91,12.62,10.92
78.0,2.0,2.0,13.29,9.67,12.54,9.25,11.54,8.12,14.54,10.25,10.75,12.38,10.13,22.34
74.0,10.0,2.0,19.95,14.21,15.96,9.08,12.83,8.08,13.92,11.38,10.75,11.21,17.16,25.75
76.0,2.0,14.0,6.96,7.08,6.96,2.75,3.54,3.92,4.25,7.41,7.96,6.04,13.5,16.96
65.0,12.0,4.0,15.63,12.67,10.54,6.58,12.04,7.17,6.46,6.04,5.79,6.46,13.79,12.33
62.0,9.0,5.0,5.41,5.25,7.96,3.58,4.92,3.58,7.5,2.25,3.33,5.13,5.25,9.21
63.0,4.0,14.0,19.12,15.54,18.96,11.04,15.16,13.33,16.46,11.29,11.54,13.79,13.7,14.75
66.0,11.0,27.0,17.33,15.92,12.46,8.42,14.12,10.5,16.75,11.42,12.17,14.09,20.38,26.71
76.0,10.0,15.0,15.59,10.41,12.83,10.25,10.96,10.67,14.83,8.42,11.58,13.62,12.79,27.08
76.0,8.0,20.0,9.83,10.41,11.08,2.0,2.83,2.79,4.04,3.54,6.83,4.58,5.88,8.46
76.0,11.0,11.0,3.5,2.83,3.04,0.13,2.88,3.08,4.96,1.08,0.58,0.92,7.25,8.71
63.0,8.0,6.0,11.12,7.5,8.17,5.33,9.62,7.41,7.0,10.71,8.63,8.58,14.12,14.0
71.0,10.0,21.0,26.2,20.54,21.67,12.0,17.54,14.92,16.79,18.16,14.79,19.12,32.63,28.67
70.0,9.0,10.0,19.0,18.58,16.13,10.41,18.96,11.79,15.71,11.87,14.5,11.58,17.37,17.5
78.0,9.0,9.0,15.21,16.21,17.04,8.58,15.63,15.37,15.29,14.33,15.29,13.33,22.58,25.96
71.0,6.0,18.0,19.12,17.21,12.5,7.0,16.17,8.63,7.96,9.29,10.08,4.04,13.92,12.42
76.0,5.0,8.0,9.46,7.92,7.67,2.75,5.54,3.37,7.25,9.04,6.58,7.21,19.75,16.54
69.0,7.0,22.0,12.83,10.21,13.17,6.87,7.21,8.04,10.71,7.5,8.46,9.46,13.96,14.62
69.0,11.0,14.0,9.54,3.29,11.38,4.04,4.58,3.25,4.29,0.96,2.37,0.33,6.34,7.33
76.0,3.0,14.0,12.87,14.83,12.21,6.5,13.13,9.0,15.37,11.92,13.21,14.04,16.5,24.25
67.0,3.0,6.0,20.41,18.58,19.38,13.29,16.83,14.79,19.17,15.96,16.0,18.05,26.46,28.42
70.0,10.0,8.0,9.0,5.71,9.79,3.0,4.29,2.46,4.42,3.29,4.54,5.25,9.08,14.92
72.0,11.0,4.0,12.25,11.67,12.96,4.17,4.92,3.25,3.79,5.63,5.41,3.17,7.67,6.71
63.0,10.0,14.0,9.79,10.5,9.75,3.79,8.25,7.67,3.83,6.58,6.34,5.54,13.5,10.5
72.0,12.0,31.0,13.83,14.46,15.87,9.75,8.71,11.0,10.67,11.54,11.5,10.75,18.0,17.5
66.0,12.0,19.0,15.59,16.38,15.29,12.04,22.58,15.59,23.04,13.7,19.0,13.5,23.25,21.87
70.0,11.0,6.0,13.33,15.0,9.04,4.63,11.21,8.0,7.33,8.0,7.96,6.87,9.21,14.0
71.0,6.0,22.0,7.38,4.5,6.75,2.79,5.96,2.54,6.04,1.92,5.29,5.29,4.42,10.17
64.0,2.0,8.0,4.33,6.79,6.29,1.0,3.88,0.75,7.21,1.5,2.96,4.92,7.17,10.5
75.0,2.0,24.0,11.38,15.29,9.13,5.91,10.71,8.21,6.34,10.71,10.54,7.29,12.54,14.96
74.0,4.0,28.0,11.87,6.04,20.46,7.41,7.96,4.29,11.75,9.0,7.41,7.46,9.25,15.12
71.0,9.0,23.0,4.92,5.04,4.46,1.04,3.92,2.04,6.0,4.21,4.63,4.58,10.75,14.67
75.0,1.0,23.0,20.62,23.63,14.62,12.87,22.29,14.75,19.5,20.12,18.96,16.13,31.49,34.54
71.0,2.0,27.0,9.42,8.42,7.33,3.88,7.08,3.88,2.62,5.37,6.5,4.88,11.83,16.08
63.0,12.0,9.0,6.83,4.88,6.25,0.46,6.13,1.75,3.46,2.04,0.83,1.25,7.5,7.38
69.0,6.0,25.0,9.29,8.08,10.08,4.38,6.71,6.0,5.71,4.21,5.17,3.46,8.17,12.71
69.0,3.0,25.0,7.41,4.38,15.29,5.46,5.63,1.75,6.5,3.83,3.33,2.75,7.12,4.96
66.0,3.0,2.0,18.05,14.42,16.58,10.79,15.79,10.67,13.92,13.62,9.75,14.54,21.62,19.08
74.0,1.0,21.0,11.17,10.54,11.04,4.42,8.29,5.13,5.75,5.79,7.17,5.33,4.67,10.0
63.0,7.0,12.0,3.08,5.96,4.25,2.79,5.46,3.37,4.79,5.75,4.75,6.58,7.92,6.46
73.0,4.0,22.0,13.79,10.96,25.88,10.21,9.87,8.25,14.37,9.25,10.46,12.21,15.59,17.92
63.0,9.0,14.0,5.58,2.75,4.92,2.21,6.63,4.92,9.33,7.17,6.34,7.96,15.59,19.67
64.0,1.0,7.0,12.29,11.92,7.92,4.17,10.63,4.46,2.92,9.54,3.67,8.12,21.54,10.0
76.0,11.0,14.0,15.21,9.17,13.33,6.21,8.83,10.17,11.38,5.91,10.0,8.83,8.42,18.63
77.0,5.0,25.0,11.04,6.42,21.25,5.66,6.83,9.71,11.5,4.96,8.79,6.5,8.5,11.96
65.0,10.0,11.0,9.62,5.58,7.58,1.5,2.83,1.08,4.0,3.58,4.38,6.87,4.42,10.79
74.0,6.0,9.0,18.96,11.63,10.63,8.0,16.0,8.63,10.34,11.46,10.21,12.46,12.87,19.5
75.0,12.0,31.0,15.59,12.33,13.42,2.37,4.08,1.17,7.08,4.25,5.91,6.34,11.38,19.55
73.0,1.0,6.0,10.58,9.04,7.54,2.25,5.96,3.0,5.79,4.5,5.54,3.08,5.37,6.04
73.0,4.0,25.0,10.54,9.25,10.58,3.08,6.87,6.83,5.04,6.34,7.41,4.38,10.41,6.42
63.0,9.0,12.0,5.21,6.5,5.79,2.54,4.0,2.42,4.29,7.38,2.71,4.54,14.79,8.54
72.0,10.0,15.0,12.71,7.87,13.46,5.04,6.38,4.83,10.29,8.54,7.5,5.13,8.67,6.13
76.0,1.0,20.0,24.25,23.5,17.58,15.34,26.25,16.75,25.96,21.29,22.5,21.79,29.33,40.12
64.0,11.0,18.0,15.09,16.66,15.5,7.04,11.42,10.54,12.42,15.09,9.0,14.46,21.46,16.33
65.0,5.0,28.0,7.5,9.17,19.12,6.71,8.38,5.63,9.13,9.25,4.25,7.5,16.04,15.12
76.0,5.0,2.0,14.79,12.08,13.54,6.87,12.71,8.33,12.38,9.42,11.75,7.96,17.12,18.71
63.0,4.0,12.0,11.12,10.13,11.79,8.38,13.13,11.0,16.0,12.08,12.71,16.0,19.62,24.79
70.0,7.0,24.0,18.79,11.92,14.71,8.87,16.88,11.42,10.79,8.67,10.58,8.42,13.42,19.12
77.0,1.0,30.0,17.62,12.04,13.04,5.25,10.08,11.04,12.79,6.75,12.0,9.0,7.5,15.71
78.0,12.0,23.0,16.62,13.29,22.21,9.5,14.29,13.08,16.5,17.16,12.71,12.0,18.5,21.5
64.0,8.0,18.0,21.92,19.12,14.17,11.25,18.5,10.37,15.09,15.79,13.13,16.5,24.83,30.46
75.0,6.0,6.0,11.12,18.38,12.12,9.25,16.54,10.67,7.46,11.67,14.54,13.04,18.75,22.79
65.0,5.0,7.0,14.96,17.41,15.04,7.75,14.54,11.17,11.58,12.67,10.21,12.25,19.79,14.46
74.0,1.0,29.0,27.58,19.7,21.29,13.21,16.88,11.92,15.46,13.67,15.63,16.66,18.79,26.2
71.0,12.0,31.0,14.88,10.5,26.08,8.46,13.5,10.04,21.04,10.25,13.54,11.34,12.12,27.33
64.0,10.0,27.0,14.12,9.87,8.17,6.92,11.04,7.67,2.54,10.5,6.63,10.58,12.87,17.04
72.0,1.0,20.0,7.54,10.37,6.38,3.67,8.87,5.83,10.41,4.29,7.92,5.96,12.67,19.7
66.0,12.0,4.0,8.0,5.58,6.96,1.38,8.63,4.92,11.75,4.5,6.21,6.34,15.46,17.41
66.0,12.0,2.0,28.21,27.37,22.54,20.62,22.08,16.13,28.16,17.29,22.5,23.16,25.88,42.54
74.0,7.0,8.0,13.88,13.42,12.87,7.58,13.59,8.67,7.96,12.92,10.34,10.58,18.08,15.75
71.0,12.0,6.0,5.29,4.04,4.46,1.04,4.67,2.79,5.96,3.75,3.75,5.75,10.63,18.0
66.0,11.0,19.0,7.46,4.33,9.54,2.29,4.46,0.17,2.92,1.21,2.79,4.08,6.54,10.0
71.0,9.0,15.0,3.46,3.79,3.88,0.96,1.46,1.46,3.92,0.67,0.92,0.29,6.17,3.0
74.0,11.0,21.0,8.79,7.92,19.55,5.21,6.87,3.63,9.25,8.12,7.29,3.0,4.38,14.17
63.0,1.0,1.0,15.59,13.62,19.79,8.38,12.25,10.0,23.45,15.71,13.59,14.37,17.58,34.13
72.0,2.0,6.0,2.79,2.29,3.21,0.96,3.21,0.0,1.92,0.21,0.87,0.5,2.08,6.71
65.0,1.0,20.0,16.54,15.59,19.87,9.0,12.42,11.79,20.12,13.7,12.29,14.33,15.5,20.83
63.0,12.0,25.0,7.96,6.92,10.63,5.13,9.92,8.29,12.21,9.17,8.79,14.17,19.04,24.67
77.0,2.0,25.0,5.5,3.08,13.0,2.13,3.17,6.58,10.46,6.5,7.41,8.67,6.21,14.71
63.0,1.0,3.0,14.09,8.25,20.12,9.0,9.96,9.67,13.83,10.17,9.0,13.7,11.67,27.21
76.0,4.0,3.0,14.96,12.17,12.83,6.67,13.13,8.08,12.87,10.96,13.5,14.33,17.79,25.5
68.0,7.0,6.0,3.33,1.17,3.54,1.29,3.88,1.04,2.42,3.29,2.92,1.71,6.92,6.34
66.0,1.0,29.0,23.67,19.04,22.13,15.46,15.16,13.42,16.79,15.79,12.79,16.08,20.67,19.0
66.0,12.0,21.0,16.38,11.25,8.17,7.21,15.0,8.29,17.16,12.25,12.83,11.08,17.54,21.62
63.0,11.0,14.0,13.62,13.08,13.67,4.42,14.37,7.62,12.08,6.54,7.46,9.13,18.0,14.46
67.0,1.0,31.0,11.38,11.92,12.79,6.17,14.71,10.41,16.17,9.75,12.04,16.17,18.58,21.0
