@relation EGSSD

@attribute tau1 numeric
@attribute tau2 numeric
@attribute tau3 numeric
@attribute tau4 numeric
@attribute p1 numeric
@attribute p2 numeric
@attribute p3 numeric
@attribute p4 numeric
@attribute g1 numeric
@attribute g2 numeric
@attribute g3 numeric
@attribute g4 numeric
@attribute stab numeric

@data
9.855053,5.029481,4.659979,8.813893,4.778394,-1.963363,-1.509832,-1.305198,0.189802,0.912171,0.994393,0.674177,0.070732
6.126846,2.462051,5.593131,1.741641,3.65402,-1.27482,-1.287829,-1.091371,0.568604,0.575,0.293683,0.696036,-0.009225
6.512506,1.070052,3.42184,7.390135,3.742774,-1.505999,-1.175246,-1.06153,0.80361,0.633888,0.745796,0.780903,0.043554
4.779005,6.964743,5.567313,5.551938,2.986535,-1.404931,-0.573671,-1.007933,0.380299,0.1879,0.457857,0.376602,0.010795
5.952266,3.264561,7.973578,9.439798,3.963625,-1.289406,-1.427425,-1.246795,0.120052,0.099127,0.145885,0.138765,-0.047818
4.02052,0.970733,3.611718,3.077368,3.495627,-0.819446,-0.965344,-1.710838,0.566963,0.738087,0.919892,0.435358,0.027017
8.892234,2.770427,4.127925,8.729575,4.853123,-1.830716,-1.677775,-1.344632,0.196657,0.21301,0.722704,0.799247,0.026119
8.13734,6.541856,0.95255,7.273395,3.600697,-1.198456,-0.674148,-1.728093,0.459143,0.92565,0.068747,0.352389,0.042155
9.395142,2.296231,7.447199,3.304948,3.682207,-1.058892,-1.347787,-1.275528,0.630439,0.348798,0.059332,0.829696,-0.014225
2.936039,3.849926,0.637753,9.265647,3.460467,-1.525005,-1.383955,-0.551507,0.745967,0.903324,0.081326,0.737205,0.011321
6.87165,8.828911,0.813569,2.229666,3.83904,-1.796788,-0.808432,-1.233821,0.976099,0.548752,0.313013,0.102243,0.02327
9.205911,8.750653,1.227164,9.28468,4.462871,-1.74876,-0.738004,-1.976107,0.104626,0.584213,0.213716,0.738964,0.028232
4.61927,2.944154,9.971023,1.681789,3.743968,-1.134308,-1.181313,-1.428348,0.367215,0.096992,0.917106,0.52363,-0.000362
9.031282,5.501054,4.796721,1.108355,5.043381,-1.841886,-1.482445,-1.71905,0.880337,0.33744,0.586956,0.822864,0.011704
2.379299,1.541926,7.172146,1.828134,3.699932,-0.863773,-1.576409,-1.25975,0.879388,0.971655,0.715599,0.961136,-0.017595
2.855677,9.972661,4.777248,7.90244,3.996868,-1.175475,-1.276114,-1.545279,0.841682,0.630222,0.220857,0.82576,0.040034
9.280678,8.861563,4.599963,8.228105,4.727829,-1.27081,-1.461105,-1.995914,0.902334,0.227856,0.95199,0.823739,0.078189
9.652791,8.389755,5.122997,0.889502,3.282149,-0.586542,-1.424116,-1.271491,0.866631,0.660595,0.945602,0.988648,0.03486
1.557028,8.975725,9.898068,7.303489,4.103773,-0.671335,-1.847325,-1.585113,0.89036,0.061631,0.684872,0.488867,-0.002634
9.800318,3.372019,5.056582,6.089546,4.087553,-0.749788,-1.502444,-1.835321,0.280767,0.351242,0.450951,0.809877,0.030795
1.047687,7.95768,9.286939,6.706607,4.27535,-1.08279,-1.83918,-1.35338,0.417332,0.811116,0.834102,0.758617,0.062329
8.380489,4.630277,2.334365,4.934137,2.426991,-0.665381,-0.952139,-0.809471,0.56068,0.153219,0.368768,0.22606,-0.019124
7.344368,8.525591,6.803521,2.915511,3.028212,-1.018341,-0.754597,-1.255274,0.763529,0.910002,0.975814,0.146971,0.084163
3.33338,6.116513,9.381113,9.239545,3.134741,-1.372758,-0.89574,-0.866243,0.22501,0.078571,0.486137,0.260964,-0.006703
9.993046,3.081053,3.462211,4.392527,3.946215,-1.403025,-1.450286,-1.092904,0.514884,0.420769,0.896527,0.053899,-0.019739
5.477517,2.019078,8.535652,4.604743,2.699795,-0.696132,-0.646468,-1.357195,0.241246,0.889475,0.190991,0.866729,0.006209
0.630116,1.491367,3.456796,5.006208,4.558808,-1.973317,-1.988163,-0.597328,0.304361,0.296415,0.222007,0.177922,-0.052771
7.158136,6.869981,2.7894,5.599288,3.26545,-1.984928,-0.703313,-0.577208,0.86399,0.455873,0.893917,0.626653,0.068127
0.867088,2.800534,9.072752,5.536388,4.228689,-1.235136,-1.037812,-1.955741,0.752231,0.62318,0.608408,0.363985,-0.020085
9.579292,3.620838,6.801959,7.496282,3.66952,-1.197959,-1.465233,-1.006328,0.724927,0.716153,0.945275,0.653023,0.080054
9.455978,4.625905,7.236909,1.643227,4.528544,-1.868103,-1.954293,-0.706148,0.631937,0.671989,0.858869,0.600091,0.044643
6.84901,3.481927,2.611486,1.839958,4.483075,-1.896578,-1.883204,-0.703293,0.226247,0.707803,0.562514,0.805963,-0.005684
1.22815,2.095974,3.777283,8.228702,3.977945,-1.405042,-1.448717,-1.124186,0.934311,0.281121,0.380577,0.158626,-0.010606
4.913955,8.077515,5.161089,6.174081,3.641994,-1.061981,-1.730213,-0.8498,0.353256,0.31333,0.534617,0.364862,0.022564
4.913562,6.257177,1.217696,2.274787,3.119879,-1.339916,-1.013148,-0.766815,0.372587,0.699071,0.222439,0.732106,0.000146
4.49957,4.825975,0.563291,0.766407,4.532032,-1.638415,-1.875841,-1.017775,0.442323,0.129092,0.350994,0.633642,-0.034447
2.570633,5.440082,4.476631,9.525872,4.727691,-1.752241,-1.128917,-1.846532,0.712696,0.722592,0.140303,0.735467,0.025106
6.786577,2.365997,7.785378,5.460567,2.85497,-1.068023,-1.068014,-0.718933,0.339828,0.218556,0.950419,0.686399,0.054047
1.835645,3.864908,6.603277,2.673765,3.908837,-1.286522,-0.873916,-1.748398,0.989819,0.192119,0.546717,0.27088,-0.03071
1.957853,4.107111,8.167616,5.007636,3.085177,-1.116576,-1.029596,-0.939004,0.629539,0.984519,0.89743,0.120841,0.034022
9.416806,0.505372,3.112804,6.076201,3.332914,-1.361579,-1.189834,-0.781501,0.530158,0.968673,0.456118,0.415227,-0.038726
1.530676,1.701397,1.281309,9.896954,2.931536,-0.549812,-1.595238,-0.786487,0.742528,0.123009,0.770045,0.849519,-0.045164
2.957239,7.989375,3.80345,3.538377,4.561326,-1.558625,-1.620463,-1.382237,0.701205,0.646816,0.280255,0.85029,0.031027
3.378629,4.329276,3.978647,4.496475,3.590902,-1.595702,-0.637057,-1.358143,0.496962,0.136694,0.197504,0.958765,0.01872
7.983697,5.013925,8.832001,1.096414,4.04338,-1.239441,-1.779879,-1.02406,0.798567,0.468872,0.647609,0.953868,0.024981
5.276402,5.930144,3.824747,2.93577,4.1244,-1.260996,-1.403773,-1.459631,0.693814,0.625106,0.412771,0.646784,0.054124
4.893077,2.641069,5.866702,6.666353,3.157493,-1.06541,-1.528319,-0.563764,0.442708,0.463236,0.074411,0.082583,-0.038905
6.84364,6.258081,9.24469,7.946347,4.244076,-1.036005,-1.999034,-1.209038,0.394209,0.697321,0.876444,0.345547,0.067726
6.809078,3.995665,7.927779,2.586315,2.865413,-0.831756,-0.975571,-1.058086,0.469396,0.500462,0.702845,0.858661,0.039469
8.147878,6.159775,7.179485,2.332093,3.200273,-0.529386,-1.149787,-1.5211,0.230438,0.413463,0.518902,0.643877,0.010889
6.564037,7.914505,8.441084,4.628487,4.181067,-0.67105,-1.927956,-1.582061,0.660102,0.381958,0.795973,0.932078,0.07898
6.061601,9.76427,1.670302,2.426326,4.781218,-1.295073,-1.846679,-1.639467,0.501966,0.691037,0.345429,0.872048,-0.002964
2.383104,7.63522,3.941885,3.45834,4.169243,-0.660973,-1.91474,-1.593531,0.515185,0.342666,0.39961,0.506888,-0.016214
1.999845,1.875041,0.844646,9.997448,4.743723,-1.811129,-1.243224,-1.689369,0.934756,0.50254,0.630883,0.651629,-0.034414
4.045644,2.392664,1.205191,5.778321,3.777322,-1.115952,-1.684419,-0.976951,0.331046,0.292931,0.336296,0.93905,0.001747
8.940429,7.352655,8.224499,8.348262,2.401356,-0.761918,-0.529845,-1.109593,0.674893,0.298823,0.71082,0.877279,0.080037
3.888547,5.551038,5.851619,3.591325,2.596502,-1.330764,-0.661219,-0.60452,0.457301,0.777536,0.389241,0.097994,0.026266
3.853943,4.433751,2.11683,2.976587,3.541805,-0.965987,-0.953002,-1.622816,0.881635,0.303905,0.127745,0.285593,-0.009884
7.961484,3.88103,7.35966,7.016825,3.675341,-0.501581,-1.876432,-1.297329,0.31136,0.366317,0.948552,0.887182,0.07404
8.758841,6.602992,5.591566,5.428185,3.87206,-1.067668,-0.870845,-1.933547,0.782897,0.839879,0.050054,0.135779,0.045371
1.031836,8.849807,1.763827,3.269297,4.621672,-1.021097,-1.927198,-1.673377,0.257258,0.531584,0.643608,0.678749,-0.029159
2.966818,8.998693,4.645325,3.664918,3.762102,-0.839487,-1.525235,-1.397381,0.316939,0.753392,0.683334,0.665817,0.036456
4.006571,1.202984,9.731351,4.059511,3.932192,-1.086177,-1.671343,-1.174672,0.730522,0.208685,0.357542,0.73265,-0.002302
8.945907,3.84907,4.8444,6.183116,4.757736,-1.444218,-1.483194,-1.830323,0.499327,0.690547,0.994568,0.394152,0.06213
8.587775,6.447324,1.014068,7.625135,4.264673,-1.403228,-1.660192,-1.201254,0.087847,0.484454,0.134388,0.364204,-0.016405
5.652686,5.864779,5.274589,7.233804,5.027698,-1.877296,-1.244998,-1.905403,0.693477,0.755781,0.487918,0.590666,0.078648
0.743881,7.434952,4.130992,7.110282,4.230737,-1.303859,-1.232882,-1.693996,0.947079,0.460025,0.610534,0.320976,-0.024021
3.140032,3.762038,7.594707,9.628539,3.43138,-0.552155,-0.904724,-1.974501,0.492502,0.240888,0.964005,0.187825,0.024835
5.690648,5.806376,6.26519,1.151843,5.556216,-1.866528,-1.792819,-1.896869,0.271209,0.721082,0.713273,0.975824,0.027299
3.377706,2.74721,6.474134,5.181457,4.684454,-1.450332,-1.870435,-1.363687,0.069501,0.738414,0.357469,0.695367,0.01375
0.860551,2.257382,3.223603,1.241568,3.631013,-0.874904,-1.881916,-0.874193,0.125027,0.284773,0.58427,0.663447,-0.046944
1.956566,4.901684,4.36097,5.039223,3.402794,-1.307075,-1.521426,-0.574293,0.429169,0.483975,0.569699,0.419303,0.017499
1.799947,1.159826,1.728814,7.38786,3.079941,-1.284147,-0.909297,-0.886497,0.412937,0.827547,0.116784,0.671237,-0.058946
2.97406,4.007252,9.682442,1.894592,3.706169,-1.611044,-0.646337,-1.448788,0.325169,0.235628,0.177919,0.893719,-0.034493
1.305661,6.839273,7.376636,1.843787,4.40926,-1.770642,-0.94872,-1.689897,0.998709,0.367326,0.311486,0.387281,-0.010397
4.469752,2.990609,4.939984,4.20636,3.9882,-0.92208,-1.495099,-1.57102,0.360947,0.332074,0.117268,0.165047,-0.037297
7.521978,7.032039,1.000393,1.920542,4.4808,-1.493593,-1.655759,-1.331447,0.772431,0.088413,0.869853,0.434588,-0.041492
9.420682,2.876216,9.764871,2.786023,3.215872,-1.216372,-1.116496,-0.883004,0.826379,0.135888,0.728038,0.399486,0.038563
3.54845,7.855124,9.389113,9.009674,4.270296,-0.661557,-1.893388,-1.71535,0.753563,0.308921,0.705998,0.231751,0.03179
7.298726,2.022,2.350235,2.516554,3.452349,-0.584133,-1.456183,-1.412033,0.49532,0.085914,0.150433,0.633046,-0.023387
6.219172,8.287711,8.980365,6.431874,3.876971,-1.912722,-0.757223,-1.207026,0.053025,0.765077,0.629174,0.884571,0.06959
3.171357,0.740373,9.880278,1.148915,5.482823,-1.984226,-1.528424,-1.970173,0.056942,0.808285,0.907384,0.126884,-0.033041
4.307017,4.062581,6.352818,8.208031,3.985158,-0.969582,-1.244279,-1.771298,0.685535,0.593212,0.4413,0.652074,0.055309
3.252105,9.255317,0.535666,9.017872,3.461041,-1.774054,-0.643456,-1.043532,0.413852,0.98661,0.174714,0.435269,0.028817
7.25638,5.422334,3.302709,2.617267,2.725657,-0.602059,-1.250367,-0.873231,0.653467,0.433464,0.949053,0.823971,0.052386
7.925182,8.510075,4.926268,3.062879,3.115712,-1.046494,-1.073752,-0.995466,0.62455,0.193225,0.420873,0.98124,0.027898
2.398539,3.725318,7.217312,6.499708,2.711793,-1.226354,-0.677818,-0.807621,0.054523,0.82205,0.1972,0.926134,0.036857
2.480468,2.928992,1.477618,1.089987,3.595654,-0.810215,-1.810607,-0.974832,0.90251,0.074975,0.159084,0.621432,-0.016109
5.362319,4.290364,6.195201,5.461015,4.873259,-1.627987,-1.722118,-1.523155,0.414145,0.440066,0.268721,0.547136,0.027457
7.511611,7.640277,6.296556,6.670567,4.76307,-1.979958,-1.79551,-0.987602,0.130656,0.363907,0.733239,0.081397,0.015894
1.049968,5.626724,6.242321,2.459045,4.009037,-1.844657,-0.527783,-1.636598,0.854849,0.053409,0.381872,0.355857,-0.029823
5.297822,1.046052,7.110525,7.896764,3.232608,-1.631969,-0.901268,-0.699371,0.466237,0.987988,0.332655,0.952828,0.020171
0.518872,0.589953,0.851472,4.575509,3.547516,-1.439259,-0.943584,-1.164672,0.726716,0.134152,0.646761,0.239757,-0.039582
9.646437,3.685215,2.975791,7.556455,4.712953,-1.669636,-1.837117,-1.206201,0.814054,0.994186,0.941642,0.662535,0.057701
3.427886,4.603009,5.526254,1.636852,3.579765,-0.950824,-1.064786,-1.564156,0.813206,0.453782,0.999171,0.815536,0.064462
1.687809,5.112293,1.85239,1.865046,4.075247,-1.935717,-0.530728,-1.608802,0.338433,0.595937,0.916849,0.222738,-0.036322
6.800164,1.20745,4.322745,1.772989,4.632608,-1.147523,-1.595997,-1.889087,0.484777,0.442254,0.735397,0.762264,-0.01047
2.290102,3.028512,8.071234,6.169944,3.624592,-1.104003,-0.820951,-1.699638,0.785595,0.770194,0.23429,0.22507,-0.020523
2.111883,8.056537,6.997474,7.822744,4.108628,-1.600279,-0.637831,-1.870518,0.930636,0.800531,0.269985,0.075746,0.005893
8.307323,0.869334,3.685803,2.666259,4.547437,-1.359252,-1.817355,-1.37083,0.581016,0.158075,0.52787,0.375294,-0.024027
2.72752,8.422759,5.803689,0.830778,4.320722,-1.630283,-1.874121,-0.816318,0.480195,0.615761,0.29965,0.094082,-0.011391
1.46552,6.818381,5.824895,4.319458,3.247682,-0.717693,-1.297298,-1.232692,0.173955,0.850418,0.736384,0.344681,0.046642
5.050888,7.716767,0.687845,2.605216,3.235894,-1.043342,-0.964965,-1.227587,0.487892,0.966826,0.638772,0.60577,0.009434
5.46186,6.260326,7.383138,7.512966,3.521769,-0.770593,-1.320914,-1.430262,0.755397,0.264822,0.460972,0.92111,0.072713
9.711035,2.909935,8.68739,0.708401,3.434627,-1.078737,-1.156585,-1.199304,0.532133,0.659903,0.850556,0.478616,0.013082
5.782925,4.731436,3.793404,4.189128,4.093474,-1.604992,-1.950227,-0.538256,0.616177,0.553928,0.207029,0.431784,0.031146
5.218001,6.507133,4.038177,1.229864,2.843244,-1.647842,-0.526456,-0.668946,0.391928,0.390967,0.788126,0.214378,0.010351
6.083155,3.504541,5.428436,4.894774,3.528196,-0.519299,-1.253048,-1.755849,0.84385,0.421851,0.206851,0.237629,0.025358
7.745785,0.660418,5.039863,5.455107,3.590753,-1.768924,-0.699088,-1.12274,0.611634,0.838269,0.833766,0.431155,0.018264
5.332626,6.108071,6.192338,2.019469,2.710259,-0.530065,-1.046414,-1.133779,0.940611,0.921425,0.881744,0.811321,0.095213
3.000559,8.771392,5.124338,5.567846,4.419703,-1.367373,-1.886734,-1.165596,0.681493,0.388942,0.900852,0.788275,0.067481
3.367109,0.638995,9.246045,8.901856,3.445851,-1.082715,-1.189282,-1.173854,0.230214,0.84026,0.757248,0.816354,0.01365
0.739782,7.358699,8.893052,2.980793,2.049631,-0.648957,-0.813853,-0.586821,0.482747,0.520432,0.188007,0.920764,-0.029034
5.054203,8.120901,2.484124,4.229763,5.289822,-1.739255,-1.709812,-1.840755,0.19244,0.260271,0.580974,0.608891,-0.016159
5.224551,7.00902,0.540104,3.632737,4.192474,-1.765761,-1.11993,-1.306783,0.058731,0.879397,0.438292,0.698919,0.001395
2.487917,8.072873,2.723479,9.392526,2.038792,-0.531655,-0.551349,-0.955789,0.422184,0.837645,0.723408,0.529115,0.027788
9.826399,1.033126,7.488197,3.255597,3.863493,-1.371172,-1.339237,-1.153084,0.506385,0.435811,0.068496,0.90166,-0.043538
7.77965,5.678625,8.629045,8.653811,4.347048,-1.598243,-1.049486,-1.69932,0.553115,0.2715,0.610194,0.179195,0.038418
9.276487,2.384255,6.661819,3.533411,4.394362,-1.294298,-1.279034,-1.82103,0.077615,0.064869,0.810504,0.523176,0.001556
8.226539,6.972866,5.183445,5.822474,3.100226,-1.288977,-1.231289,-0.579961,0.362239,0.941877,0.08125,0.946291,0.069689
2.54593,7.707533,1.083901,3.059013,3.329098,-0.910938,-0.913195,-1.504966,0.109069,0.92288,0.824355,0.407182,-0.020727
0.601779,0.602232,9.653109,4.339342,3.553391,-1.014918,-1.109661,-1.428812,0.56956,0.092785,0.823766,0.243933,-0.027288
5.038036,2.132991,0.649277,8.080461,4.56922,-1.926486,-1.349528,-1.293207,0.374392,0.805204,0.663108,0.544929,-0.030061
2.559069,8.558283,0.631103,0.851496,2.664619,-1.06991,-0.922865,-0.671844,0.974979,0.166986,0.734651,0.481734,-0.035776
9.838843,2.988721,4.742429,3.364569,2.933229,-1.008739,-1.320095,-0.604395,0.878983,0.161202,0.350805,0.686409,0.015791
7.374465,9.355224,2.68868,3.973454,3.14514,-1.542428,-0.589756,-1.012956,0.310523,0.103936,0.871683,0.290243,-0.026219
3.579115,4.680693,2.316343,6.616349,4.797099,-1.639262,-1.745028,-1.41281,0.253092,0.137574,0.889215,0.380097,-0.010788
9.982899,1.146938,9.258566,4.727667,4.923401,-1.615336,-1.849015,-1.45905,0.747735,0.57954,0.46893,0.18049,0.009545
5.514627,9.028328,7.572005,6.15612,4.050424,-1.704167,-1.222185,-1.124071,0.29543,0.064571,0.323938,0.570903,0.0077
6.116803,3.941364,2.31641,3.092281,3.885878,-1.731135,-1.500781,-0.653962,0.78069,0.755883,0.600049,0.955691,0.072207
8.481593,6.135122,5.812899,4.882249,4.428689,-1.464233,-1.476879,-1.487577,0.911421,0.561896,0.517414,0.864818,0.083878
3.184549,1.661335,1.743794,5.370648,2.409809,-0.726397,-1.067449,-0.615963,0.313814,0.087682,0.418665,0.653369,-0.041808
1.541864,1.120724,7.777755,2.641324,4.390995,-1.38191,-1.232326,-1.77676,0.326855,0.341446,0.320016,0.182357,-0.049654
9.065337,6.071166,7.907771,1.918661,3.539368,-0.973973,-0.746478,-1.818917,0.302748,0.689397,0.93428,0.457119,0.048811
5.905644,1.474812,8.056336,7.233514,5.685424,-1.907585,-1.826505,-1.951333,0.418733,0.450462,0.964506,0.875102,0.062238
