@relation energydata_complete

@attribute Appliances numeric
@attribute lights numeric
@attribute T1 numeric
@attribute RH_1 numeric
@attribute T2 numeric
@attribute RH_2 numeric
@attribute T3 numeric
@attribute RH_3 numeric
@attribute T4 numeric
@attribute RH_4 numeric
@attribute T5 numeric
@attribute RH_5 numeric
@attribute T6 numeric
@attribute RH_6 numeric
@attribute T7 numeric
@attribute RH_7 numeric
@attribute T8 numeric
@attribute RH_8 numeric
@attribute T9 numeric
@attribute RH_9 numeric
@attribute T_out numeric
@attribute Press_mm_hg numeric
@attribute RH_out numeric
@attribute Windspeed numeric
@attribute Visibility numeric
@attribute Tdewpoint numeric
@attribute rv1 numeric

@data
580,60,20.066667,46.396667,19.426667,44.4,19.79,44.826667,19,46.43,17.1,55,6.123333,87.993333,17.53,44.263333,18.066667,48.633333,16.89,45.29,5.98,734.433333,91.166667,5.833333,40,4.62,8.827838
430,50,20.133333,48,19.566667,44.4,19.89,44.9,19,46.363333,17.1,55.09,6.123333,88.59,17.823333,45.493333,18.066667,48.56,16.963333,45.29,6,734.5,91,6,40,4.6,34.351142
250,40,20.26,52.726667,19.73,45.1,19.89,45.493333,19,47.223333,17.1,55.163333,6.0675,88.215,17.963333,46.16,18.033333,48.666667,16.89,45.326667,6,734.616667,90.5,6,40,4.52,19.205186
100,10,20.426667,55.893333,19.856667,45.833333,20.033333,47.526667,19,48.696667,17.1,55.5,5.9,88.156667,17.963333,45.533333,18.1,49.193333,16.89,45.345,6,734.733333,90,6,40,4.43,38.492071
100,10,20.566667,53.893333,20.033333,46.756667,20.1,48.466667,19,48.49,17.15,56.0425,5.8,88.366667,17.89,44.926667,18.15,49.2,16.89,45.326667,6,734.85,89.5,6,40,4.35,24.884962
90,10,20.73,52.66,20.166667,47.223333,20.2,48.53,18.926667,48.156667,17.166667,56.49,5.726667,88.16,17.76,44.266667,18.23,49.633333,16.89,45.29,6,734.966667,89,6,40,4.27,35.880925
70,30,20.856667,53.66,20.2,47.056667,20.2,48.4475,18.89,47.963333,17.2,56.933333,5.526667,87.3,17.7,43.726667,18.356667,50.026667,16.89,45.29,6,735.083333,88.5,6,40,4.18,49.595305
80,30,20.89,51.193333,20.2,46.33,20.2,48.193333,18.963333,48.63,17.2,57.06,5.333333,86.76,17.666667,43.16,18.533333,50.2,16.89,45.2,6,735.2,88,6,40,4.1,19.001759
140,40,20.89,49.8,20.2,46.026667,20.166667,47.633333,19.033333,49.5,17.593333,70.726667,5.333333,87.463333,17.6,42.693333,18.666667,50.26,16.89,45.2,6,735.233333,87.833333,6,40,4.07,38.872261
120,20,20.89,48.433333,20.2,45.7225,20.166667,47.3,19.175,49.9475,18.066667,79,5.466667,87.53,17.6,42.333333,18.73,50.23,16.89,45.126667,6,735.266667,87.666667,6,40,4.03,46.735262
190,40,20.963333,47.633333,20.26,45.53,20.2,47.026667,19.26,49.696667,17.666667,79.73,5.5,86.956667,17.533333,42.066667,18.856667,50.29,16.89,45.126667,6,735.3,87.5,6,40,4,10.607126
110,40,21.033333,47.063333,20.29,45.223333,20.26,46.826667,19.323333,49.166667,17.6,79.256667,5.56,86.563333,17.633333,43.633333,18.89,50.163333,16.89,45.06,6,735.333333,87.333333,6,40,3.97,32.583688
110,40,21.1,46.596667,20.356667,44.963333,20.29,46.633333,19.39,48.426667,17.566667,78.393333,5.623333,86.33,17.76,43.633333,18.963333,50.03,16.89,45,6,735.366667,87.166667,6,40,3.93,6.277755
110,30,21.133333,46.06,20.426667,44.76,20.29,46.433333,19.39,48.193333,17.76,82.46,5.763333,86.063333,17.856667,43.46,19,49.76,16.89,44.966667,6,735.4,87,6,40,3.9,13.361033
110,20,21.2,45.8,20.5,44.76,20.39,46.223333,19.39,47.8,18.356667,82.59,5.656667,85.59,17.79,43.4,19.066667,49.7,16.89,44.9,5.93,735.466667,87.166667,6,40,3.87,19.305705
100,30,21.29,45.9,20.533333,45.09,20.39,46.09,19.39,47.56,18.356667,70.99,5.53,85.73,17.89,43.79,19.133333,49.633333,16.89,44.79,5.87,735.533333,87.333333,6,40,3.83,0.669517
100,20,21.356667,45.826667,20.666667,45.163333,20.39,46.09,19.39,47.5,18.6,62.43,5.433333,86.326667,17.89,43.79,19.2,49.433333,16.89,44.79,5.8,735.6,87.5,6,40,3.8,19.119398
100,20,21.39,45.69,20.7,45.06,20.39,46.09,19.426667,47.993333,18.666667,59.03,5.5,86.6,17.89,43.7,19.23,49.4,16.89,44.7,5.73,735.666667,87.666667,6,40,3.77,43.484542
100,20,21.5,45.333333,20.7,44.933333,20.39,46.06,19.566667,48.466667,18.823333,56.726667,5.59,86.466667,17.865,43.57,19.29,49.326667,16.89,44.7,5.67,735.733333,87.833333,6,40,3.73,17.01745
110,20,21.5,45.126667,20.79,44.633333,20.39,46,19.666667,48.093333,18.963333,55.333333,5.59,86.325,17.79,43.4,19.29,49.163333,16.823333,44.59,5.6,735.8,88,6,40,3.7,24.104006
400,20,21.533333,44.966667,20.79,44.36,20.426667,45.933333,19.6,47.5,19.033333,54.093333,5.656667,86.226667,17.79,43.223333,19.356667,49.03,16.823333,44.53,5.65,735.883333,87.833333,6.166667,40,3.72,29.978291
400,20,21.6,44.766667,20.89,44.223333,20.5,45.933333,19.696667,47.626667,19.1,53.366667,5.833333,85.766667,17.79,43.03,19.39,48.863333,16.89,44.59,5.7,735.966667,87.666667,6.333333,40,3.73,24.677065
390,30,21.6,44.56,20.963333,43.963333,20.5,45.79,20.096667,47.566667,19.158333,52.4725,5.9,85.033333,17.79,42.76,19.39,48.863333,16.89,44.5225,5.75,736.05,87.5,6.5,40,3.75,9.31088
240,20,21.6,44.36,21,43.833333,20.5,45.73,20.596667,47.223333,19.2,51.99,6,84.126667,17.79,42.626667,19.34,48.95,16.823333,44.433333,5.8,736.133333,87.333333,6.666667,40,3.77,41.368666
60,20,21.6,44.2,21,43.7,20.5,45.59,20.996667,47.03,19.2225,51.52,6,84.06,17.7,42.626667,19.29,49.23,16.89,44.5,5.85,736.216667,87.166667,6.833333,40,3.78,33.423337
60,20,21.6,44.2,21,43.59,20.4175,45.545,21.166667,46.526667,19.29,51.23,5.966667,84.79,17.7,42.76,19.356667,49.43,16.89,44.5,5.9,736.3,87,7,40,3.8,39.711993
60,20,21.6,44.2,21,43.59,20.39,45.663333,21.033333,46.4,19.29,51.06,5.9,85.596667,17.7,43.03,19.39,49.89,16.89,45.066667,5.8,736.4,87.833333,6.833333,37,3.85,5.397181
50,10,21.6,44.2,21,43.7,20.29,45.73,20.963333,46.433333,19.29,50.933333,5.763333,86.26,17.7,43.163333,19.39,50.163333,16.89,45.26,5.7,736.5,88.666667,6.666667,34,3.9,36.185547
70,20,21.5,44.23,20.926667,43.76,20.29,45.79,20.865,46.5675,19.29,50.863333,5.623333,86.593333,17.7,43.4,19.39,50.463333,16.89,45.433333,5.6,736.6,89.5,6.5,31,3.95,20.563721
60,20,21.5,44.363333,20.89,43.845,20.29,45.79,20.73,46.59,19.29,50.79,5.59,87.496667,17.7,43.466667,19.39,50.723333,16.89,45.56,5.5,736.7,90.333333,6.333333,28,4,41.047315
40,20,21.39,44.433333,20.79,43.79,20.23,45.656667,20.7,46.79,19.2,50.663333,5.59,87.896667,17.7,43.626667,19.39,50.963333,16.89,45.626667,5.4,736.8,91.166667,6.166667,25,4.05,32.35301
40,10,21.39,44.56,20.79,43.863333,20.2,45.663333,20.633333,46.79,19.2,50.53,5.59,88.633333,17.7,43.76,19.39,51.163333,16.89,45.7,5.3,736.9,92,6,22,4.1,39.146638
30,20,21.29,44.826667,20.7,44,20.2,45.59,20.566667,46.933333,19.2,50.5,5.53,89.026667,17.7,43.933333,19.463333,51.5,16.89,45.79,5.27,737,92,6,25,4.07,27.651816
40,20,21.29,44.966667,20.633333,44,20.166667,45.5,20.5,47.133333,19.2,50.433333,5.53,89.4,17.76,44.333333,19.39,51.56,16.89,45.863333,5.23,737.1,92,6,28,4.03,26.485979
50,20,21.26,45.09,20.6,44.03,20.1,45.5,20.5,47.23,19.166667,50.363333,5.53,89.193333,17.79,44.963333,19.39,51.86,16.89,45.9,5.2,737.2,92,6,31,4,39.467812
310,10,21.2,45.09,20.6,44.09,20.1,45.5,20.426667,47.23,19.1,50.29,5.4,89.4,17.79,45.223333,19.39,52,16.89,45.966667,5.17,737.3,92,6,34,3.97,1.16656
380,20,21.166667,45.23,20.5,44.126667,20.1,45.5,20.46,47.36,19.066667,50.26,5.2,88.99,17.79,45.326667,19.356667,52.09,16.89,46.03,5.13,737.4,92,6,37,3.93,23.861503
380,20,21.075,45.3725,20.5,44.2,20.1,45.53,20.793333,47.56,19,50.126667,4.866667,89.063333,17.79,45.425,19.29,52.163333,16.89,46.09,5.1,737.5,92,6,40,3.9,36.615687
370,20,21,45.4,20.39,44.2,20.1,45.59,21.263333,47.466667,19,50.09,4.933333,91.16,17.79,45.56,19.29,52.5,16.89,46.2,5.12,737.633333,92,5.833333,40,3.92,34.636578
120,10,21,45.59,20.39,44.26,20.1,45.59,21.596667,47.4,19,50.03,5,91.433333,17.79,45.73,19.23,52.9,16.89,46.2,5.13,737.766667,92,5.666667,40,3.93,23.880981
50,0,20.926667,45.59,20.29,44.29,20.166667,45.53,21.89,46.966667,19,50.03,4.866667,91.26,17.79,45.863333,19.29,53.5,16.89,46.29,5.15,737.9,92,5.5,40,3.95,43.060474
40,0,20.89,45.666667,20.23,44.29,20.133333,45.5,21.823333,46.226667,18.926667,50.09,4.726667,91.593333,17.79,45.826667,19.29,53.96,16.89,46.433333,5.17,738.033333,92,5.333333,40,3.97,21.904855
50,0,20.89,46.06,20.2,44.4,20.2,45.5,21.666667,46.06,18.89,50.09,4.466667,91.76,17.79,45.966667,19.29,54.463333,16.89,46.633333,5.18,738.166667,92,5.166667,40,3.98,12.239864
40,0,20.79,46.2,20.2,44.466667,20.166667,45.5,21.533333,45.933333,18.89,50.1725,4.333333,91.76,17.79,46,19.2225,54.7225,16.89,46.826667,5.2,738.3,92,5,40,4,3.533952
50,0,20.79,46.2,20.1,44.53,20.125,45.425,21.356667,45.9,18.89,50.2,4.156667,91.833333,17.79,46,19.2,54.966667,16.963333,46.966667,5.13,738.4,92,4.833333,40,3.93,4.973308
50,0,20.7,46.26,20.1,44.59,20.133333,45.4,21.23,45.9,18.79,50.09,4.156667,92.566667,17.89,46,19.2,54.966667,17,47.23,5.07,738.5,92,4.666667,40,3.87,15.813585
50,0,20.7,46.2,20,44.433333,20.2,45.5,21.066667,45.9,18.79,50.09,4.333333,93.53,17.89,46.06,19.2,54.9,17,47.363333,5,738.6,92,4.5,40,3.8,25.931713
40,0,20.6,46.2,20,44.5,20.2,45.5,20.926667,45.9,18.79,50.09,4.333333,93.323333,17.89,46.09,19.2,54.863333,17,47.53,4.93,738.7,92,4.333333,40,3.73,33.100254
40,0,20.6,46.126667,20,44.5,20.2,45.4,20.745,45.9,18.73,50.09,4.19,93.126667,17.823333,45.963333,19.133333,54.79,17,47.663333,4.87,738.8,92,4.166667,40,3.67,20.341509
30,0,20.566667,46.066667,19.89,44.59,20.2,45.4,20.666667,46,18.7,50.09,4.063333,92.866667,17.856667,45.966667,19.2,54.9,17,47.826667,4.8,738.9,92,4,40,3.6,45.643796
20,0,20.5,46.2,19.823333,44.53,20.29,45.466667,20.533333,46,18.7,50.09,3.863333,92.966667,17.856667,45.966667,19.2,54.966667,17,47.9,4.82,739.016667,92.166667,4.333333,40,3.63,14.680169
20,0,20.5,46.29,19.79,44.53,20.29,45.4,20.39,46.03,18.7,50.09,3.79,93.093333,17.89,46.2,19.2,55.09,17,48.03,4.83,739.133333,92.333333,4.666667,40,3.67,22.953286
40,0,20.426667,46.23,19.79,44.53,20.2,45.4,20.39,46.163333,18.633333,50.03,3.895,94.045,17.89,46.2,19.2,55.03,17,48.09,4.85,739.25,92.5,5,40,3.7,16.619734
50,0,20.39,46.29,19.76,44.59,20.2,45.4,20.29,46.2,18.6,50,4.19,94.656667,17.89,46.2,19.2,54.863333,17.066667,48.29,4.87,739.366667,92.666667,5.333333,40,3.73,32.543523
50,0,20.39,46.363333,19.7,44.59,20.2,45.5,20.23,46.26,18.6,50,4.263333,94.796667,17.89,46.126667,19.2,54.73,17.066667,48.363333,4.88,739.483333,92.833333,5.666667,40,3.77,12.900839
40,0,20.29,46.5,19.7,44.7,20.26,45.5,20.1,46.29,18.6,50,4.463333,95.03,17.89,46.09,19.1,54.56,17.033333,48.463333,4.9,739.6,93,6,40,3.8,23.927262
50,0,20.29,46.545,19.633333,44.626667,20.29,45.5,20.033333,46.29,18.533333,50,4.59,95.03,17.89,45.92,19.1,54.5,17.033333,48.59,4.92,739.65,92.666667,5.833333,40,3.77,38.315534
40,0,20.23,46.5,19.6,44.59,20.29,45.5,20,46.4,18.5,50,4.726667,94.866667,17.89,45.73,19.1,54.5,17.033333,48.766667,4.93,739.7,92.333333,5.666667,40,3.73,4.212346
40,0,20.2,46.433333,19.6,44.59,20.29,45.5,19.926667,46.466667,18.5,50,4.8,94.726667,17.89,45.7,19.1,54.5,17.033333,48.9,4.95,739.75,92,5.5,40,3.7,43.766067
40,0,20.2,46.56,19.566667,44.7,20.29,45.56,19.856667,46.466667,18.5,50,4.8,94.493333,17.89,45.7,19.1,54.4,17.1,49.045,4.97,739.8,91.666667,5.333333,40,3.67,16.953647
60,0,20.166667,46.363333,19.5,44.7,20.29,45.59,19.79,46.466667,18.5,50,4.8,94.226667,17.89,45.59,19.1,54.4,17.1,49.2,4.98,739.85,91.333333,5.166667,40,3.63,41.972018
50,0,20.1,46.363333,19.5,44.79,20.29,45.59,19.76,46.59,18.5,50,4.8,94.126667,17.89,45.663333,19.1,54.29,17.1,49.26,5,739.9,91,5,40,3.6,17.334174
50,0,20.1,46.5,19.426667,44.73,20.29,45.59,19.7,46.663333,18.4725,49.975,4.8,94,17.89,45.59,19.1,54.23,17.1,49.29,4.98,739.966667,91.666667,4.833333,40,3.68,16.688747
40,0,20.033333,46.36,19.39,44.73,20.29,45.59,19.666667,46.663333,18.39,49.9,4.763333,93.563333,17.89,45.59,19.05,54.045,17.1,49.363333,4.97,740.033333,92.333333,4.666667,40,3.77,23.817562
40,0,20,46.29,19.39,44.79,20.356667,45.59,19.6,46.59,18.39,49.9,4.763333,94.023333,17.89,45.626667,19,54,17.1,49.433333,4.95,740.1,93,4.5,40,3.85,44.609917
40,0,20,46.29,19.39,44.79,20.39,45.59,19.6,46.626667,18.39,49.9,4.833333,94.726667,17.89,45.626667,19.066667,54,17.1,49.56,4.93,740.166667,93.666667,4.333333,40,3.93,43.216974
40,0,20,46.23,19.39,44.79,20.323333,45.59,19.6,46.7,18.39,49.9,4.833333,95,17.89,45.59,19.1,53.9,17.1,49.626667,4.92,740.233333,94.333333,4.166667,40,4.02,19.499477
50,0,19.926667,46.23,19.29,44.9,20.323333,45.59,19.5,46.7,18.39,49.9,4.9,95.53,17.89,45.723333,19.033333,53.826667,17.1,49.7,4.9,740.3,95,4,40,4.1,38.866035
70,10,19.89,46.23,19.29,44.925,20.323333,45.59,19.5,46.7,18.356667,49.933333,4.9975,95.82,17.89,45.9,19,53.79,17.1,49.826667,4.93,740.433333,94.666667,4.166667,38.166667,4.1,48.0309
40,0,19.89,46.43,19.29,45,20.29,45.59,19.426667,46.7,18.29,50,5.09,96.03,17.89,45.966667,19,53.79,17.1,49.966667,4.97,740.566667,94.333333,4.333333,36.333333,4.1,21.732974
30,0,19.89,46.626667,19.29,45.126667,20.29,45.59,19.39,46.7,18.29,50.126667,5,95.9,17.89,45.9,19,53.76,17.133333,50,5,740.7,94,4.5,34.5,4.1,35.625734
20,10,19.89,46.7,19.218,45.2,20.29,45.5,19.39,46.7,18.29,50.2,5,95.966667,17.89,45.826667,19,53.7,17.2,50,5.03,740.833333,93.666667,4.666667,32.666667,4.1,19.999718
30,0,19.89,46.863333,19.2,45.245,20.29,45.433333,19.29,46.79,18.29,50.23,4.966667,95.933333,17.89,45.7225,19,53.875,17.2,50,5.07,740.966667,93.333333,4.833333,30.833333,4.1,16.267608
40,10,19.823333,46.863333,19.2,45.363333,20.2,45.29,19.29,46.79,18.29,50.29,4.9,95.933333,17.89,45.79,19,54,17.2,50,5.1,741.1,93,5,29,4.1,37.854357
50,10,19.856667,46.93,19.2,45.4,20.2,45.29,19.29,46.79,18.29,50.426667,4.933333,96.09,17.89,45.863333,19,54.06,17.2,50.09,5.1,741.216667,92.666667,5,30.833333,4.05,10.134613
60,20,19.79,46.79,19.2,45.326667,20.166667,45.29,19.29,46.596667,18.23,50.833333,4.933333,96.09,17.89,45.52,18.926667,53.8,17.2,49.963333,5.1,741.333333,92.333333,5,32.666667,4,35.556061
60,20,19.79,46.895,19.175,45.195,20.1,45.29,19.26,46.296667,18.2,51.266667,5,96.09,17.89,45.14,18.9725,53.15,17.2,49.723333,5.1,741.45,92,5,34.5,3.95,6.084596
70,20,19.79,47.426667,19.1,45.03,20.1,45.29,19.2,46.09,18.2,51.526667,5,96.09,17.856667,44.833333,18.89,52.8,17.2,49.463333,5.1,741.566667,91.666667,5,36.333333,3.9,12.274426
60,30,19.79,48.366667,19.1,45,20.1,45.29,19.166667,45.966667,18.1,51.826667,5,96.09,17.79,44.566667,18.856667,52.363333,17.15,48.995,5.1,741.683333,91.333333,5,38.166667,3.85,7.165219
140,20,19.79,48.666667,19.1,45,20.2,45.29,19.166667,45.9,18.1,51.966667,5.06,96.156667,17.79,44.326667,18.79,51.963333,17.1,48.633333,5.1,741.8,91,5,40,3.8,11.981471
110,30,19.79,48.533333,19.066667,45.06,20.133333,45.29,19.2,45.76,18.1,52.126667,5.09,96.026667,17.856667,44.66,18.79,51.633333,17.1,48.36,5.05,741.883333,91,5,40,3.73,2.946719
90,10,19.89,50,19.022222,45.044444,20.15,45.245,19.2,45.626667,18.033333,52.2,5.09,95.76,18,45.063333,18.79,51.395,17.1,48.026667,5,741.966667,91,5,40,3.67,32.114413
60,0,19.89,48.733333,19.1,45.2,20.1,45.2,19.1,45.526667,18.05,52.4,5,95.456667,18,44.456667,18.7,51.045,17.1,47.766667,4.95,742.05,91,5,40,3.6,43.813461
60,0,19.89,48.026667,19.033333,45.126667,20.1,45.2,19.1,45.4,18,52.5,4.793333,94.79,17.89,43.96,18.7,50.76,17.1,47.466667,4.9,742.133333,91,5,40,3.53,38.945734
60,0,19.89,47.633333,19,45.09,20.1,45.2,19.1,45.363333,18,52.56,4.466667,94.193333,17.89,43.566667,18.7,50.645,17.033333,47.266667,4.85,742.216667,91,5,40,3.47,39.865441
50,0,19.856667,47.063333,19,45.03,20.1,45.2,19.1,45.23,18,52.79,4.2975,94.45,17.856667,43.1,18.7,50.42,17,46.93,4.8,742.3,91,5,40,3.4,22.763723
60,0,19.79,46.656667,19,44.966667,20.1,45.163333,19.1,45.09,17.926667,52.79,4.063333,94.193333,17.79,42.766667,18.633333,50.156667,17.066667,46.79,4.88,742.383333,91,5,38.166667,3.48,20.504204
50,0,19.79,46.333333,19,44.826667,20.1,45.09,19.1,44.966667,17.89,52.76,4.03,94.666667,17.79,42.43,18.666667,50.026667,17.033333,46.59,4.97,742.466667,91,5,36.333333,3.57,40.543512
30,0,19.79,46.066667,19,44.645,20.1,45.163333,19.033333,44.766667,17.89,52.033333,4.09,95,17.79,42.23,18.6,49.826667,17.033333,46.39,5.05,742.55,91,5,34.5,3.65,30.246665
40,0,19.76,45.863333,18.963333,44.56,20.033333,44.963333,19,44.663333,18,50.9,4.123333,95.396667,17.7,41.966667,18.6,49.663333,17,46.163333,5.13,742.633333,91,5,32.666667,3.73,32.736196
30,0,19.7,45.79,18.963333,44.433333,20,44.9,19.066667,44.59,18,50.426667,4.263333,95.796667,17.7,41.826667,18.6,49.59,17,46.03,5.22,742.716667,91,5,30.833333,3.82,17.659864
260,0,19.7,45.663333,18.89,44.29,20,44.9,19.1,44.693333,18,49.93,4.463333,96.26,17.7,41.663333,18.6,49.466667,17,45.863333,5.3,742.8,91,5,29,3.9,13.513007
500,0,19.7,45.59,18.89,44.23,19.89,44.9,19.166667,45.026667,18,49.656667,4.73,96.466667,17.7,41.59,18.533333,49.4,17,45.73,5.48,742.883333,90.166667,5,30.833333,3.95,49.634203
450,0,19.73,47.793333,18.926667,44.23,19.89,44.9,19.36,45.36,18,49.5,5.03,96.56,17.7,41.5,18.5,49.26,17,45.663333,5.67,742.966667,89.333333,5,32.666667,4,31.674663
50,10,19.79,48.793333,19,44.363333,19.89,44.863333,19.693333,45.56,18,49.56,5.156667,96.5,17.7,41.4,18.5,49.2,17,45.463333,5.85,743.05,88.5,5,34.5,4.05,10.660407
60,0,19.89,47.94,19.033333,44.566667,19.963333,44.863333,20,45.133333,18.033333,49.626667,5.333333,96.56,17.7,41.326667,18.5,49.09,17.033333,45.29,6.03,743.133333,87.666667,5,36.333333,4.1,6.468617
60,0,19.89,47.16,19.033333,44.566667,19.926667,44.79,20.066667,44.86,18.1,49.566667,5.4,96.293333,17.7,41.26,18.5,49.09,17.033333,45.23,6.22,743.216667,86.833333,5,38.166667,4.15,23.905902
50,0,19.89,46.766667,19.033333,44.5,20,44.79,20.133333,44.7,18.033333,49.326667,5.53,96.19,17.7,41.2,18.5,49,17.05,45.245,6.4,743.3,86,5,40,4.2,46.203723
50,0,20,46.296667,19.1,44.5,20,44.79,20.2,44.626667,18.1,49.326667,5.796667,96.19,17.73,41.026667,18.5,48.933333,17.1,45.29,6.5,743.333333,85.166667,5.333333,38,4.17,29.938048
50,0,20,45.963333,19.1,44.466667,19.926667,44.79,20.2,44.59,18.1,49.26,5.833333,95.023333,17.79,40.9,18.426667,48.59,17.1,45.23,6.6,743.366667,84.333333,5.666667,36,4.13,48.808535
60,0,20,46.223333,19.1,44.4,19.945,44.79,20.133333,44.463333,18.1,49.126667,5.966667,94.563333,17.79,40.7,18.5,48.463333,17.1,45.2,6.7,743.4,83.5,6,34,4.1,36.589626
60,0,20,45.963333,19.1,44.29,19.89,44.76,20.1,44.163333,18.1,49.09,6.245,93.745,17.856667,40.626667,18.5,48.19,17.1,45.126667,6.8,743.433333,82.666667,6.333333,32,4.07,17.836346
60,0,20,45.723333,19.15,44.245,19.89,44.7,20.1,44.03,18.1,49,6.433333,91.23,17.823333,40.466667,18.5,47.966667,17.1,45.2,6.9,743.466667,81.833333,6.666667,30,4.03,21.573685
60,0,20,45.663333,19.2,44.2,19.963333,44.7,20.033333,43.9,18.1,48.933333,6.5,88.896667,17.89,40.326667,18.566667,47.826667,17.1,45.2,7,743.5,81,7,28,4,7.410578
190,0,20.033333,45.5,19.2,44.126667,19.963333,44.7,20.033333,43.693333,18.066667,49,6.59,85.463333,17.9175,40.24,18.566667,47.59,17.1,45.06,7.08,743.5,80.666667,7,30,4.02,0.653879
220,0,20.1,45.693333,19.2,43.9,20,44.79,20,43.845,18,49.4,6.656667,84.396667,17.926667,40.03,18.55,47.545,17.1,45,7.17,743.5,80.333333,7,32,4.03,35.778303
170,0,20.1,45.4,19.2,43.9,20,44.79,20,43.826667,17.963333,49.89,6.933333,83.1,17.9725,39.875,18.6,47.352222,17.1,44.863333,7.25,743.5,80,7,34,4.05,5.159212
390,0,20.1,45.326667,19.2,43.856,19.963333,44.79,20,43.966667,17.89,50.223333,7.126667,82.893333,18,39.7,18.6,47.2,17.1,44.79,7.33,743.5,79.666667,7,36,4.07,22.314217
90,0,20.1,45.326667,19.2,43.7,19.89,44.79,19.89,44.09,17.89,50.398,7.433333,82.333333,18,39.663333,18.5,47.2,17.1,44.7,7.42,743.5,79.333333,7,38,4.08,32.005052
60,0,20.166667,46.993333,19.2,43.76,19.89,44.79,19.89,44.163333,17.89,50.56,7.5,81,18,39.59,18.5,47.126667,17.166667,44.626667,7.5,743.5,79,7,40,4.1,49.591931
290,0,20.1,46.43,19.1,43.8175,19.89,44.79,19.856667,44.16,17.856667,50.73,7.4,80.36,17.89,39.59,18.5,47.23,17.166667,44.56,7.42,743.5,79.333333,7.166667,40,4.07,24.779679
130,0,20.1,46.03,19.1,43.838125,19.89,44.79,19.856667,44.026667,17.856667,50.863333,7.466667,80.36,17.89,39.59,18.5,47.29,17.1,44.5,7.33,743.5,79.666667,7.333333,40,4.03,24.217476
140,0,20.066667,45.363333,19.1,43.745,19.89,44.863333,19.79,43.863333,17.79,50.933333,7.656667,78.79,17.89,39.59,18.5,47.33,17.1,44.4,7.25,743.5,80,7.5,40,4,8.672117
240,0,20,44.963333,19.1,43.595556,19.89,44.826667,19.73,43.53,17.79,51,7.53,78.19,17.89,39.59,18.5,47.2825,17.1,44.326667,7.17,743.5,80.333333,7.666667,40,3.97,37.741047
