@relation airfoil_self_noise

@attribute ï»?800 numeric
@attribute 0 numeric
@attribute 0.3048 numeric
@attribute 71.3 numeric
@attribute 0.00266337 numeric
@attribute 126.201 numeric

@data
2500,0,0.3048,31.7,0.003313,120.755
3150,0,0.3048,31.7,0.003313,119.135
4000,0,0.3048,31.7,0.003313,118.145
5000,0,0.3048,31.7,0.003313,115.645
6300,0,0.3048,31.7,0.003313,113.775
8000,0,0.3048,31.7,0.003313,110.515
10000,0,0.3048,31.7,0.003313,108.265
800,1.5,0.3048,71.3,0.003367,127.122
1000,1.5,0.3048,71.3,0.003367,125.992
1250,1.5,0.3048,71.3,0.003367,125.872
1600,1.5,0.3048,71.3,0.003367,126.632
2000,1.5,0.3048,71.3,0.003367,126.642
2500,1.5,0.3048,71.3,0.003367,124.512
3150,1.5,0.3048,71.3,0.003367,123.392
4000,1.5,0.3048,71.3,0.003367,121.762
5000,1.5,0.3048,71.3,0.003367,119.632
6300,1.5,0.3048,71.3,0.003367,118.122
8000,1.5,0.3048,71.3,0.003367,115.372
10000,1.5,0.3048,71.3,0.003367,113.492
12500,1.5,0.3048,71.3,0.003367,109.222
16000,1.5,0.3048,71.3,0.003367,106.582
315,1.5,0.3048,39.6,0.003921,121.851
400,1.5,0.3048,39.6,0.003921,124.001
500,1.5,0.3048,39.6,0.003921,126.661
630,1.5,0.3048,39.6,0.003921,128.311
800,1.5,0.3048,39.6,0.003921,128.831
1000,1.5,0.3048,39.6,0.003921,127.581
1250,1.5,0.3048,39.6,0.003921,125.211
1600,1.5,0.3048,39.6,0.003921,122.211
2000,1.5,0.3048,39.6,0.003921,122.101
2500,1.5,0.3048,39.6,0.003921,120.981
3150,1.5,0.3048,39.6,0.003921,119.111
4000,1.5,0.3048,39.6,0.003921,117.741
5000,1.5,0.3048,39.6,0.003921,116.241
6300,1.5,0.3048,39.6,0.003921,114.751
8000,1.5,0.3048,39.6,0.003921,112.251
10000,1.5,0.3048,39.6,0.003921,108.991
12500,1.5,0.3048,39.6,0.003921,106.111
400,3,0.3048,71.3,0.004257,127.564
500,3,0.3048,71.3,0.004257,128.454
630,3,0.3048,71.3,0.004257,129.354
800,3,0.3048,71.3,0.004257,129.494
1000,3,0.3048,71.3,0.004257,129.004
1250,3,0.3048,71.3,0.004257,127.634
1600,3,0.3048,71.3,0.004257,126.514
2000,3,0.3048,71.3,0.004257,125.524
2500,3,0.3048,71.3,0.004257,124.024
3150,3,0.3048,71.3,0.004257,121.514
4000,3,0.3048,71.3,0.004257,120.264
5000,3,0.3048,71.3,0.004257,118.134
6300,3,0.3048,71.3,0.004257,116.134
8000,3,0.3048,71.3,0.004257,114.634
10000,3,0.3048,71.3,0.004257,110.224
400,3,0.3048,55.5,0.004525,126.159
500,3,0.3048,55.5,0.004525,128.179
630,3,0.3048,55.5,0.004525,129.569
800,3,0.3048,55.5,0.004525,129.949
1000,3,0.3048,55.5,0.004525,129.329
1250,3,0.3048,55.5,0.004525,127.329
1600,3,0.3048,55.5,0.004525,124.439
2000,3,0.3048,55.5,0.004525,123.069
2500,3,0.3048,55.5,0.004525,122.439
3150,3,0.3048,55.5,0.004525,120.189
4000,3,0.3048,55.5,0.004525,118.689
5000,3,0.3048,55.5,0.004525,117.309
6300,3,0.3048,55.5,0.004525,115.679
8000,3,0.3048,55.5,0.004525,113.799
10000,3,0.3048,55.5,0.004525,112.169
315,3,0.3048,39.6,0.004957,123.312
400,3,0.3048,39.6,0.004957,125.472
500,3,0.3048,39.6,0.004957,127.632
630,3,0.3048,39.6,0.004957,129.292
800,3,0.3048,39.6,0.004957,129.552
1000,3,0.3048,39.6,0.004957,128.312
1250,3,0.3048,39.6,0.004957,125.802
1600,3,0.3048,39.6,0.004957,122.782
2000,3,0.3048,39.6,0.004957,120.532
2500,3,0.3048,39.6,0.004957,120.162
3150,3,0.3048,39.6,0.004957,118.922
4000,3,0.3048,39.6,0.004957,116.792
5000,3,0.3048,39.6,0.004957,115.792
6300,3,0.3048,39.6,0.004957,114.042
8000,3,0.3048,39.6,0.004957,110.652
315,3,0.3048,31.7,0.005295,123.118
400,3,0.3048,31.7,0.005295,125.398
500,3,0.3048,31.7,0.005295,127.548
630,3,0.3048,31.7,0.005295,128.698
800,3,0.3048,31.7,0.005295,128.708
1000,3,0.3048,31.7,0.005295,126.838
1250,3,0.3048,31.7,0.005295,124.838
1600,3,0.3048,31.7,0.005295,122.088
2000,3,0.3048,31.7,0.005295,120.088
2500,3,0.3048,31.7,0.005295,119.598
3150,3,0.3048,31.7,0.005295,118.108
4000,3,0.3048,31.7,0.005295,115.608
5000,3,0.3048,31.7,0.005295,113.858
6300,3,0.3048,31.7,0.005295,109.718
250,4,0.3048,71.3,0.004978,126.395
315,4,0.3048,71.3,0.004978,128.175
400,4,0.3048,71.3,0.004978,129.575
500,4,0.3048,71.3,0.004978,130.715
630,4,0.3048,71.3,0.004978,131.615
800,4,0.3048,71.3,0.004978,131.755
1000,4,0.3048,71.3,0.004978,131.015
1250,4,0.3048,71.3,0.004978,129.395
1600,4,0.3048,71.3,0.004978,126.645
2000,4,0.3048,71.3,0.004978,124.395
2500,4,0.3048,71.3,0.004978,123.775
3150,4,0.3048,71.3,0.004978,121.775
4000,4,0.3048,71.3,0.004978,119.535
5000,4,0.3048,71.3,0.004978,117.785
6300,4,0.3048,71.3,0.004978,116.165
8000,4,0.3048,71.3,0.004978,113.665
10000,4,0.3048,71.3,0.004978,110.905
12500,4,0.3048,71.3,0.004978,107.405
250,4,0.3048,39.6,0.005796,123.543
315,4,0.3048,39.6,0.005796,126.843
400,4,0.3048,39.6,0.005796,128.633
500,4,0.3048,39.6,0.005796,130.173
630,4,0.3048,39.6,0.005796,131.073
800,4,0.3048,39.6,0.005796,130.723
1000,4,0.3048,39.6,0.005796,128.723
1250,4,0.3048,39.6,0.005796,126.343
1600,4,0.3048,39.6,0.005796,123.213
2000,4,0.3048,39.6,0.005796,120.963
2500,4,0.3048,39.6,0.005796,120.233
3150,4,0.3048,39.6,0.005796,118.743
4000,4,0.3048,39.6,0.005796,115.863
5000,4,0.3048,39.6,0.005796,113.733
1250,0,0.2286,71.3,0.002143,128.144
1600,0,0.2286,71.3,0.002143,129.134
2000,0,0.2286,71.3,0.002143,128.244
2500,0,0.2286,71.3,0.002143,128.354
3150,0,0.2286,71.3,0.002143,127.834
4000,0,0.2286,71.3,0.002143,125.824
5000,0,0.2286,71.3,0.002143,124.304
6300,0,0.2286,71.3,0.002143,122.044
8000,0,0.2286,71.3,0.002143,118.024
10000,0,0.2286,71.3,0.002143,118.134
12500,0,0.2286,71.3,0.002143,117.624
16000,0,0.2286,71.3,0.002143,114.984
20000,0,0.2286,71.3,0.002143,114.474
315,0,0.2286,55.5,0.002293,119.54
400,0,0.2286,55.5,0.002293,121.66
500,0,0.2286,55.5,0.002293,123.78
630,0,0.2286,55.5,0.002293,126.16
800,0,0.2286,55.5,0.002293,127.53
1000,0,0.2286,55.5,0.002293,128.29
1250,0,0.2286,55.5,0.002293,127.91
1600,0,0.2286,55.5,0.002293,126.79
2000,0,0.2286,55.5,0.002293,126.54
2500,0,0.2286,55.5,0.002293,126.54
3150,0,0.2286,55.5,0.002293,125.16
4000,0,0.2286,55.5,0.002293,123.41
5000,0,0.2286,55.5,0.002293,122.41
6300,0,0.2286,55.5,0.002293,118.41
315,0,0.2286,39.6,0.002535,121.055
400,0,0.2286,39.6,0.002535,123.565
500,0,0.2286,39.6,0.002535,126.195
630,0,0.2286,39.6,0.002535,128.705
800,0,0.2286,39.6,0.002535,130.205
1000,0,0.2286,39.6,0.002535,130.435
1250,0,0.2286,39.6,0.002535,129.395
1600,0,0.2286,39.6,0.002535,127.095
2000,0,0.2286,39.6,0.002535,125.305
2500,0,0.2286,39.6,0.002535,125.025
3150,0,0.2286,39.6,0.002535,124.625
4000,0,0.2286,39.6,0.002535,123.465
5000,0,0.2286,39.6,0.002535,122.175
6300,0,0.2286,39.6,0.002535,117.465
315,0,0.2286,31.7,0.002724,120.595
400,0,0.2286,31.7,0.002724,123.635
500,0,0.2286,31.7,0.002724,126.675
630,0,0.2286,31.7,0.002724,129.465
800,0,0.2286,31.7,0.002724,130.725
1000,0,0.2286,31.7,0.002724,130.595
1250,0,0.2286,31.7,0.002724,128.805
1600,0,0.2286,31.7,0.002724,125.625
2000,0,0.2286,31.7,0.002724,123.455
2500,0,0.2286,31.7,0.002724,123.445
3150,0,0.2286,31.7,0.002724,123.445
4000,0,0.2286,31.7,0.002724,122.035
5000,0,0.2286,31.7,0.002724,120.505
6300,0,0.2286,31.7,0.002724,116.815
400,2,0.2286,71.3,0.00293,125.116
500,2,0.2286,71.3,0.00293,126.486
630,2,0.2286,71.3,0.00293,127.356
800,2,0.2286,71.3,0.00293,128.216
1000,2,0.2286,71.3,0.00293,128.956
1250,2,0.2286,71.3,0.00293,128.816
1600,2,0.2286,71.3,0.00293,127.796
2000,2,0.2286,71.3,0.00293,126.896
2500,2,0.2286,71.3,0.00293,127.006
3150,2,0.2286,71.3,0.00293,126.116
4000,2,0.2286,71.3,0.00293,124.086
5000,2,0.2286,71.3,0.00293,122.816
6300,2,0.2286,71.3,0.00293,120.786
8000,2,0.2286,71.3,0.00293,115.996
10000,2,0.2286,71.3,0.00293,113.086
400,2,0.2286,55.5,0.003135,122.292
500,2,0.2286,55.5,0.003135,124.692
630,2,0.2286,55.5,0.003135,126.842
800,2,0.2286,55.5,0.003135,128.492
1000,2,0.2286,55.5,0.003135,129.002
1250,2,0.2286,55.5,0.003135,128.762
1600,2,0.2286,55.5,0.003135,126.752
2000,2,0.2286,55.5,0.003135,124.612
2500,2,0.2286,55.5,0.003135,123.862
3150,2,0.2286,55.5,0.003135,123.742
4000,2,0.2286,55.5,0.003135,122.232
5000,2,0.2286,55.5,0.003135,120.472
6300,2,0.2286,55.5,0.003135,118.712
315,2,0.2286,39.6,0.003466,120.137
400,2,0.2286,39.6,0.003466,122.147
500,2,0.2286,39.6,0.003466,125.157
630,2,0.2286,39.6,0.003466,127.417
800,2,0.2286,39.6,0.003466,129.037
1000,2,0.2286,39.6,0.003466,129.147
1250,2,0.2286,39.6,0.003466,128.257
1600,2,0.2286,39.6,0.003466,125.837
2000,2,0.2286,39.6,0.003466,122.797
2500,2,0.2286,39.6,0.003466,121.397
3150,2,0.2286,39.6,0.003466,121.627
4000,2,0.2286,39.6,0.003466,120.227
5000,2,0.2286,39.6,0.003466,118.827
6300,2,0.2286,39.6,0.003466,116.417
315,2,0.2286,31.7,0.003724,120.147
400,2,0.2286,31.7,0.003724,123.417
500,2,0.2286,31.7,0.003724,126.677
630,2,0.2286,31.7,0.003724,129.057
800,2,0.2286,31.7,0.003724,130.307
1000,2,0.2286,31.7,0.003724,130.307
1250,2,0.2286,31.7,0.003724,128.677
1600,2,0.2286,31.7,0.003724,125.797
2000,2,0.2286,31.7,0.003724,123.037
2500,2,0.2286,31.7,0.003724,121.407
3150,2,0.2286,31.7,0.003724,121.527
4000,2,0.2286,31.7,0.003724,120.527
5000,2,0.2286,31.7,0.003724,118.267
6300,2,0.2286,31.7,0.003724,115.137
500,4,0.2286,71.3,0.004006,126.758
630,4,0.2286,71.3,0.004006,129.038
800,4,0.2286,71.3,0.004006,130.688
1000,4,0.2286,71.3,0.004006,131.708
1250,4,0.2286,71.3,0.004006,131.718
1600,4,0.2286,71.3,0.004006,129.468
2000,4,0.2286,71.3,0.004006,126.218
2500,4,0.2286,71.3,0.004006,124.338
3150,4,0.2286,71.3,0.004006,124.108
4000,4,0.2286,71.3,0.004006,121.728
5000,4,0.2286,71.3,0.004006,121.118
6300,4,0.2286,71.3,0.004006,118.618
8000,4,0.2286,71.3,0.004006,112.848
10000,4,0.2286,71.3,0.004006,113.108
12500,4,0.2286,71.3,0.004006,114.258
16000,4,0.2286,71.3,0.004006,112.768
20000,4,0.2286,71.3,0.004006,109.638
400,4,0.2286,55.5,0.004286,123.274
500,4,0.2286,55.5,0.004286,127.314
630,4,0.2286,55.5,0.004286,129.964
800,4,0.2286,55.5,0.004286,131.864
1000,4,0.2286,55.5,0.004286,132.134
1250,4,0.2286,55.5,0.004286,131.264
1600,4,0.2286,55.5,0.004286,128.264
2000,4,0.2286,55.5,0.004286,124.254
2500,4,0.2286,55.5,0.004286,122.384
3150,4,0.2286,55.5,0.004286,122.394
4000,4,0.2286,55.5,0.004286,120.654
5000,4,0.2286,55.5,0.004286,120.034
6300,4,0.2286,55.5,0.004286,117.154
8000,4,0.2286,55.5,0.004286,112.524
315,4,0.2286,39.6,0.004738,122.229
400,4,0.2286,39.6,0.004738,123.879
500,4,0.2286,39.6,0.004738,127.039
630,4,0.2286,39.6,0.004738,129.579
800,4,0.2286,39.6,0.004738,130.469
1000,4,0.2286,39.6,0.004738,129.969
1250,4,0.2286,39.6,0.004738,128.339
1600,4,0.2286,39.6,0.004738,125.319
2000,4,0.2286,39.6,0.004738,121.659
2500,4,0.2286,39.6,0.004738,119.649
3150,4,0.2286,39.6,0.004738,120.419
4000,4,0.2286,39.6,0.004738,119.159
5000,4,0.2286,39.6,0.004738,117.649
6300,4,0.2286,39.6,0.004738,114.249
8000,4,0.2286,39.6,0.004738,113.129
250,4,0.2286,31.7,0.005091,120.189
315,4,0.2286,31.7,0.005091,123.609
400,4,0.2286,31.7,0.005091,126.149
500,4,0.2286,31.7,0.005091,128.939
630,4,0.2286,31.7,0.005091,130.349
800,4,0.2286,31.7,0.005091,130.869
1000,4,0.2286,31.7,0.005091,129.869
1250,4,0.2286,31.7,0.005091,128.119
1600,4,0.2286,31.7,0.005091,125.229
2000,4,0.2286,31.7,0.005091,122.089
2500,4,0.2286,31.7,0.005091,120.209
3150,4,0.2286,31.7,0.005091,120.229
4000,4,0.2286,31.7,0.005091,118.859
5000,4,0.2286,31.7,0.005091,115.969
6300,4,0.2286,31.7,0.005091,112.699
400,5.3,0.2286,71.3,0.005194,127.7
500,5.3,0.2286,71.3,0.005194,129.88
630,5.3,0.2286,71.3,0.005194,131.8
800,5.3,0.2286,71.3,0.005194,133.48
1000,5.3,0.2286,71.3,0.005194,134
1250,5.3,0.2286,71.3,0.005194,133.38
1600,5.3,0.2286,71.3,0.005194,130.46
2000,5.3,0.2286,71.3,0.005194,125.89
2500,5.3,0.2286,71.3,0.005194,123.74
3150,5.3,0.2286,71.3,0.005194,123.12
4000,5.3,0.2286,71.3,0.005194,120.33
5000,5.3,0.2286,71.3,0.005194,118.05
6300,5.3,0.2286,71.3,0.005194,116.92
8000,5.3,0.2286,71.3,0.005194,114.9
10000,5.3,0.2286,71.3,0.005194,111.35
250,5.3,0.2286,39.6,0.006143,127.011
315,5.3,0.2286,39.6,0.006143,129.691
400,5.3,0.2286,39.6,0.006143,131.221
500,5.3,0.2286,39.6,0.006143,132.251
630,5.3,0.2286,39.6,0.006143,132.011
800,5.3,0.2286,39.6,0.006143,129.491
1000,5.3,0.2286,39.6,0.006143,125.581
1250,5.3,0.2286,39.6,0.006143,125.721
1600,5.3,0.2286,39.6,0.006143,123.081
2000,5.3,0.2286,39.6,0.006143,117.911
2500,5.3,0.2286,39.6,0.006143,116.151
3150,5.3,0.2286,39.6,0.006143,118.441
4000,5.3,0.2286,39.6,0.006143,115.801
5000,5.3,0.2286,39.6,0.006143,115.311
6300,5.3,0.2286,39.6,0.006143,112.541
200,7.3,0.2286,71.3,0.01044,138.758
250,7.3,0.2286,71.3,0.01044,139.918
315,7.3,0.2286,71.3,0.01044,139.808
400,7.3,0.2286,71.3,0.01044,139.438
500,7.3,0.2286,71.3,0.01044,136.798
630,7.3,0.2286,71.3,0.01044,133.768
800,7.3,0.2286,71.3,0.01044,130.748
1000,7.3,0.2286,71.3,0.01044,126.838
1250,7.3,0.2286,71.3,0.01044,127.358
1600,7.3,0.2286,71.3,0.01044,125.728
2000,7.3,0.2286,71.3,0.01044,122.708
2500,7.3,0.2286,71.3,0.01044,122.088
3150,7.3,0.2286,71.3,0.01044,120.458
4000,7.3,0.2286,71.3,0.01044,119.208
5000,7.3,0.2286,71.3,0.01044,115.298
6300,7.3,0.2286,71.3,0.01044,115.818
200,7.3,0.2286,55.5,0.011171,135.234
250,7.3,0.2286,55.5,0.011171,136.384
315,7.3,0.2286,55.5,0.011171,136.284
400,7.3,0.2286,55.5,0.011171,135.924
500,7.3,0.2286,55.5,0.011171,133.174
630,7.3,0.2286,55.5,0.011171,130.934
800,7.3,0.2286,55.5,0.011171,128.444
1000,7.3,0.2286,55.5,0.011171,125.194
1250,7.3,0.2286,55.5,0.011171,125.724
1600,7.3,0.2286,55.5,0.011171,123.354
2000,7.3,0.2286,55.5,0.011171,120.354
2500,7.3,0.2286,55.5,0.011171,118.994
3150,7.3,0.2286,55.5,0.011171,117.134
4000,7.3,0.2286,55.5,0.011171,117.284
5000,7.3,0.2286,55.5,0.011171,113.144
6300,7.3,0.2286,55.5,0.011171,111.534
200,7.3,0.2286,39.6,0.012348,130.989
250,7.3,0.2286,39.6,0.012348,131.889
315,7.3,0.2286,39.6,0.012348,132.149
400,7.3,0.2286,39.6,0.012348,132.039
500,7.3,0.2286,39.6,0.012348,130.299
630,7.3,0.2286,39.6,0.012348,128.929
800,7.3,0.2286,39.6,0.012348,126.299
1000,7.3,0.2286,39.6,0.012348,122.539
1250,7.3,0.2286,39.6,0.012348,123.189
1600,7.3,0.2286,39.6,0.012348,121.059
2000,7.3,0.2286,39.6,0.012348,117.809
2500,7.3,0.2286,39.6,0.012348,116.559
3150,7.3,0.2286,39.6,0.012348,114.309
4000,7.3,0.2286,39.6,0.012348,114.079
5000,7.3,0.2286,39.6,0.012348,111.959
6300,7.3,0.2286,39.6,0.012348,110.839
200,7.3,0.2286,31.7,0.013267,128.679
250,7.3,0.2286,31.7,0.013267,130.089
315,7.3,0.2286,31.7,0.013267,130.239
400,7.3,0.2286,31.7,0.013267,130.269
500,7.3,0.2286,31.7,0.013267,128.169
630,7.3,0.2286,31.7,0.013267,126.189
800,7.3,0.2286,31.7,0.013267,123.209
1000,7.3,0.2286,31.7,0.013267,119.099
1250,7.3,0.2286,31.7,0.013267,120.509
1600,7.3,0.2286,31.7,0.013267,119.039
2000,7.3,0.2286,31.7,0.013267,115.309
2500,7.3,0.2286,31.7,0.013267,114.709
3150,7.3,0.2286,31.7,0.013267,113.229
4000,7.3,0.2286,31.7,0.013267,112.639
5000,7.3,0.2286,31.7,0.013267,111.029
6300,7.3,0.2286,31.7,0.013267,110.689
800,0,0.1524,71.3,0.001599,125.817
1000,0,0.1524,71.3,0.001599,127.307
1250,0,0.1524,71.3,0.001599,128.927
1600,0,0.1524,71.3,0.001599,129.667
2000,0,0.1524,71.3,0.001599,128.647
2500,0,0.1524,71.3,0.001599,128.127
3150,0,0.1524,71.3,0.001599,129.377
4000,0,0.1524,71.3,0.001599,128.857
5000,0,0.1524,71.3,0.001599,126.457
6300,0,0.1524,71.3,0.001599,125.427
8000,0,0.1524,71.3,0.001599,122.527
10000,0,0.1524,71.3,0.001599,120.247
12500,0,0.1524,71.3,0.001599,117.087
16000,0,0.1524,71.3,0.001599,113.297
500,0,0.1524,55.5,0.001727,120.573
630,0,0.1524,55.5,0.001727,123.583
800,0,0.1524,55.5,0.001727,126.713
1000,0,0.1524,55.5,0.001727,128.583
1250,0,0.1524,55.5,0.001727,129.953
1600,0,0.1524,55.5,0.001727,130.183
2000,0,0.1524,55.5,0.001727,129.673
2500,0,0.1524,55.5,0.001727,127.763
3150,0,0.1524,55.5,0.001727,127.753
4000,0,0.1524,55.5,0.001727,127.233
5000,0,0.1524,55.5,0.001727,125.203
6300,0,0.1524,55.5,0.001727,123.303
8000,0,0.1524,55.5,0.001727,121.903
10000,0,0.1524,55.5,0.001727,119.253
12500,0,0.1524,55.5,0.001727,117.093
16000,0,0.1524,55.5,0.001727,112.803
500,0,0.1524,39.6,0.001933,119.513
630,0,0.1524,39.6,0.001933,124.403
800,0,0.1524,39.6,0.001933,127.903
1000,0,0.1524,39.6,0.001933,130.033
1250,0,0.1524,39.6,0.001933,131.023
1600,0,0.1524,39.6,0.001933,131.013
2000,0,0.1524,39.6,0.001933,129.633
2500,0,0.1524,39.6,0.001933,126.863
3150,0,0.1524,39.6,0.001933,125.603
4000,0,0.1524,39.6,0.001933,125.343
5000,0,0.1524,39.6,0.001933,123.453
6300,0,0.1524,39.6,0.001933,121.313
8000,0,0.1524,39.6,0.001933,120.553
10000,0,0.1524,39.6,0.001933,115.413
500,0,0.1524,31.7,0.002094,121.617
630,0,0.1524,31.7,0.002094,125.997
800,0,0.1524,31.7,0.002094,129.117
1000,0,0.1524,31.7,0.002094,130.987
1250,0,0.1524,31.7,0.002094,131.467
1600,0,0.1524,31.7,0.002094,130.817
2000,0,0.1524,31.7,0.002094,128.907
2500,0,0.1524,31.7,0.002094,125.867
3150,0,0.1524,31.7,0.002094,124.207
4000,0,0.1524,31.7,0.002094,123.807
5000,0,0.1524,31.7,0.002094,122.397
6300,0,0.1524,31.7,0.002094,119.737
8000,0,0.1524,31.7,0.002094,117.957
630,2.7,0.1524,71.3,0.002439,127.404
800,2.7,0.1524,71.3,0.002439,127.394
1000,2.7,0.1524,71.3,0.002439,128.774
1250,2.7,0.1524,71.3,0.002439,130.144
1600,2.7,0.1524,71.3,0.002439,130.644
2000,2.7,0.1524,71.3,0.002439,130.114
2500,2.7,0.1524,71.3,0.002439,128.334
3150,2.7,0.1524,71.3,0.002439,127.054
4000,2.7,0.1524,71.3,0.002439,126.534
5000,2.7,0.1524,71.3,0.002439,124.364
6300,2.7,0.1524,71.3,0.002439,121.944
8000,2.7,0.1524,71.3,0.002439,120.534
10000,2.7,0.1524,71.3,0.002439,116.724
12500,2.7,0.1524,71.3,0.002439,113.034
16000,2.7,0.1524,71.3,0.002439,110.364
500,2.7,0.1524,39.6,0.002948,121.009
630,2.7,0.1524,39.6,0.002948,125.809
800,2.7,0.1524,39.6,0.002948,128.829
1000,2.7,0.1524,39.6,0.002948,130.589
1250,2.7,0.1524,39.6,0.002948,130.829
1600,2.7,0.1524,39.6,0.002948,130.049
2000,2.7,0.1524,39.6,0.002948,128.139
2500,2.7,0.1524,39.6,0.002948,125.589
3150,2.7,0.1524,39.6,0.002948,122.919
4000,2.7,0.1524,39.6,0.002948,121.889
5000,2.7,0.1524,39.6,0.002948,121.499
6300,2.7,0.1524,39.6,0.002948,119.209
8000,2.7,0.1524,39.6,0.002948,116.659
10000,2.7,0.1524,39.6,0.002948,112.589
12500,2.7,0.1524,39.6,0.002948,108.649
400,5.4,0.1524,71.3,0.004012,124.121
500,5.4,0.1524,71.3,0.004012,126.291
630,5.4,0.1524,71.3,0.004012,128.971
800,5.4,0.1524,71.3,0.004012,131.281
1000,5.4,0.1524,71.3,0.004012,133.201
1250,5.4,0.1524,71.3,0.004012,134.111
1600,5.4,0.1524,71.3,0.004012,133.241
2000,5.4,0.1524,71.3,0.004012,131.111
2500,5.4,0.1524,71.3,0.004012,127.591
3150,5.4,0.1524,71.3,0.004012,123.311
4000,5.4,0.1524,71.3,0.004012,121.431
5000,5.4,0.1524,71.3,0.004012,120.061
6300,5.4,0.1524,71.3,0.004012,116.411
400,5.4,0.1524,55.5,0.004333,126.807
500,5.4,0.1524,55.5,0.004333,129.367
630,5.4,0.1524,55.5,0.004333,131.807
800,5.4,0.1524,55.5,0.004333,133.097
1000,5.4,0.1524,55.5,0.004333,132.127
1250,5.4,0.1524,55.5,0.004333,130.777
1600,5.4,0.1524,55.5,0.004333,130.567
2000,5.4,0.1524,55.5,0.004333,128.707
2500,5.4,0.1524,55.5,0.004333,124.077
3150,5.4,0.1524,55.5,0.004333,121.587
4000,5.4,0.1524,55.5,0.004333,119.737
5000,5.4,0.1524,55.5,0.004333,118.757
6300,5.4,0.1524,55.5,0.004333,117.287
8000,5.4,0.1524,55.5,0.004333,114.927
315,5.4,0.1524,39.6,0.00485,125.347
400,5.4,0.1524,39.6,0.00485,127.637
500,5.4,0.1524,39.6,0.00485,129.937
630,5.4,0.1524,39.6,0.00485,132.357
800,5.4,0.1524,39.6,0.00485,132.757
1000,5.4,0.1524,39.6,0.00485,130.507
1250,5.4,0.1524,39.6,0.00485,127.117
1600,5.4,0.1524,39.6,0.00485,126.267
2000,5.4,0.1524,39.6,0.00485,124.647
2500,5.4,0.1524,39.6,0.00485,120.497
3150,5.4,0.1524,39.6,0.00485,119.137
4000,5.4,0.1524,39.6,0.00485,117.137
5000,5.4,0.1524,39.6,0.00485,117.037
6300,5.4,0.1524,39.6,0.00485,116.677
315,5.4,0.1524,31.7,0.005255,125.741
400,5.4,0.1524,31.7,0.005255,127.781
500,5.4,0.1524,31.7,0.005255,129.681
630,5.4,0.1524,31.7,0.005255,131.471
800,5.4,0.1524,31.7,0.005255,131.491
1000,5.4,0.1524,31.7,0.005255,128.241
1250,5.4,0.1524,31.7,0.005255,123.991
1600,5.4,0.1524,31.7,0.005255,123.761
2000,5.4,0.1524,31.7,0.005255,122.771
